round	arm	stage	backup_s	artifact_mb	restore_s	sync_ms	restore_durable_s	attempts	errors	max_stall_ms	p50_ms	disk_peak_mb	verify
discard	A	real	0	34	2	13	2	20	0	6	4	44	일치(15016 ∈ [15016,15020])
discard	B	real	6	134	10	19	10	50	0	16	4	44	일치(15058 ∈ [15036,15070])
r1	A	real	0	34	2	13	2	21	0	6	4	44	일치(15086 ∈ [15086,15091])
r2	B	real	6	134	10	20	10	50	0	20	4	44	일치(15129 ∈ [15107,15141])
