phase	status	seconds	started_at
preflight	OK	2	2026-08-13T14:42:33+00:00
backup_rehearsal	OK	369	2026-08-13T14:42:35+00:00
backup	OK	10113	2026-08-13T14:48:46+00:00
backup_real	OK	537	2026-08-13T17:37:20+00:00
ridealong	OK	0	2026-08-13T17:46:19+00:00
collect	OK	0	2026-08-13T17:46:20+00:00
