level block ok internal other retried recovered exhausted rows
8 0 343 157 0 0 0 0 500
16 0 324 176 0 0 0 0 500
32 0 296 204 0 0 0 0 500
16 1 262 238 0 0 0 0 500
32 1 294 206 0 0 0 0 500
8 1 318 182 0 0 0 0 500
32 2 260 240 0 0 0 0 500
8 2 315 185 0 0 0 0 500
16 2 340 160 0 0 0 0 500
8 3 395 105 0 0 0 0 500
16 3 274 226 0 0 0 0 500
32 3 289 211 0 0 0 0 500
