t_rel	session_idx	ms	outcome
1.724	3	279.79	ok
1.632	39	371.92	ok
1.652	32	352.26	ok
1.635	26	370.09	ok
1.567	30	438.61	ok
1.779	13	226.91	ok
1.734	48	272.81	ok
1.76	11	246.35	ok
1.667	40	339.46	ok
1.538	14	469.21	ok
1.745	52	263.21	ok
1.622	31	386.51	ok
1.732	4	276.27	ok
1.623	33	386.32	ok
1.687	44	322.74	ok
1.605	22	404.84	ok
1.666	45	344.14	ok
1.689	42	321.4	ok
1.659	47	352.37	ok
1.761	8	250.6	ok
1.733	51	278.19	ok
1.573	20	438.11	ok
1.79	1	222.17	ok
1.663	46	348.89	ok
1.721	50	291.97	ok
1.757	7	255.93	ok
1.753	0	260.24	ok
1.734	41	279.74	ok
1.688	24	325.53	ok
1.794	10	221.38	ok
1.809	19	253.74	ok
1.818	17	246.98	ok
1.821	2	253.44	ok
1.855	12	219.9	ok
1.862	5	232.11	ok
1.853	6	242.93	ok
1.834	21	268.7	ok
1.864	16	249.33	ok
1.896	15	246.1	ok
1.873	18	268.98	ok
1.864	23	280.11	ok
1.997	36	182.65	ok
1.983	25	196.78	ok
1.901	27	279.17	ok
1.999	49	195.75	ok
1.889	34	307.0	ok
2.007	40	195.45	ok
2.004	32	198.16	ok
2.003	35	201.53	ok
2.0	29	205.59	ok
2.002	38	207.02	ok
2.006	26	204.56	ok
1.981	28	228.87	ok
2.01	22	210.62	ok
2.008	31	212.32	ok
2.006	30	215.43	ok
2.01	45	211.54	ok
2.022	44	205.41	ok
2.011	47	216.35	ok
2.012	20	221.42	ok
2.012	46	220.85	ok
2.009	33	228.16	ok
2.008	14	229.71	ok
2.001	37	248.29	ok
2.003	43	252.04	ok
2.056	50	201.45	ok
2.069	51	188.42	ok
2.004	39	254.16	ok
2.067	41	190.94	ok
2.022	24	236.35	ok
2.061	3	197.28	ok
2.0	9	258.78	ok
2.099	8	173.47	ok
2.082	52	197.27	ok
2.07	4	216.87	ok
2.07	48	218.96	ok
2.091	7	198.66	ok
2.119	13	173.89	ok
2.152	17	154.17	ok
2.186	6	120.91	ok
2.087	0	221.1	ok
2.023	42	284.95	ok
2.182	21	130.56	ok
2.103	11	210.69	ok
2.197	23	116.86	ok
2.23	15	102.14	ratelimited
2.197	16	134.41	ratelimited
2.195	5	137.75	ok
2.125	1	208.35	ok
2.189	12	145.04	ratelimited
2.235	27	101.05	ok
2.127	10	210.59	ok
2.211	18	126.99	ok
2.143	19	195.14	ok
2.222	34	116.28	ok
2.155	2	184.04	ratelimited
2.333	9	67.03	ratelimited
2.333	49	68.14	ratelimited
2.334	37	67.4	ok
2.317	25	85.01	ok
2.337	39	65.19	ok
2.331	36	75.01	ok
2.34	40	89.72	ok
2.334	29	106.5	ok
2.341	14	99.6	ratelimited
2.339	26	101.63	ok
