t_rel	session_idx	ms	outcome
0.002	0	243.8	ok
0.02	6	225.78	ok
0.041	8	206.79	ok
0.006	4	304.35	ok
0.023	7	290.71	ok
0.005	2	309.22	ok
0.05	9	332.23	ok
0.053	10	329.68	ok
0.056	12	327.26	ok
0.056	13	327.26	ok
0.012	5	371.55	ok
0.006	3	378.19	ok
0.061	17	324.52	ok
0.055	11	329.89	ok
0.056	14	329.23	ok
0.004	1	384.74	ok
0.057	16	340.47	ok
0.057	15	341.24	ok
0.1	25	304.15	ok
0.07	18	334.0	ok
0.082	21	388.56	ok
0.098	24	416.21	ok
0.103	29	412.04	ok
0.08	19	435.07	ok
0.103	30	412.7	ok
0.103	28	446.19	ok
0.082	20	468.38	ok
0.088	22	484.71	ok
0.104	33	476.5	ok
0.103	31	488.15	ok
0.104	34	487.96	ok
0.097	23	496.89	ok
0.1	26	514.01	ok
0.107	35	509.32	ok
0.11	37	522.93	ok
0.104	32	551.15	ok
0.123	40	532.35	ok
0.121	39	534.55	ok
0.125	45	531.45	ok
0.124	42	532.74	ok
0.115	38	541.54	ok
0.125	47	533.93	ok
0.11	36	550.88	ok
0.101	27	560.35	ok
0.123	41	542.83	ok
0.125	44	542.52	ok
0.131	51	539.6	ok
0.124	43	550.95	ok
0.335	0	348.53	ok
0.34	4	348.4	ok
0.125	46	599.44	ok
0.126	49	599.89	ok
0.387	10	348.09	ok
0.126	50	617.76	ok
0.389	1	370.97	ok
0.357	7	404.17	ok
0.126	48	635.58	ok
0.375	8	386.84	ok
0.383	5	378.62	ok
0.338	2	424.34	ok
0.384	3	378.99	ok
0.39	14	373.94	ok
0.389	12	375.25	ok
0.39	13	381.96	ok
0.39	9	382.22	ok
0.136	52	637.29	ok
0.355	6	418.34	ok
0.404	18	369.13	ok
0.398	15	376.93	ok
0.398	16	396.26	ok
0.396	17	398.61	ok
0.392	11	405.48	ok
0.434	25	365.11	ok
0.515	29	324.76	ok
0.471	21	369.2	ok
0.514	24	343.46	ok
0.573	22	285.18	ok
0.516	19	343.21	ok
0.55	20	311.54	ok
0.516	30	345.97	ok
0.549	28	314.29	ok
0.592	31	279.33	ok
0.581	33	295.72	ok
0.633	37	243.43	ok
0.655	32	226.6	ok
0.656	40	233.82	ok
0.615	26	283.96	ok
0.594	23	310.24	ok
0.656	39	274.4	ok
0.592	34	338.26	ok
0.661	36	288.33	ok
0.656	45	292.74	ok
0.616	35	333.02	ok
0.657	38	300.78	ok
0.659	47	303.81	ok
0.667	44	296.34	ok
0.666	41	300.58	ok
0.725	46	252.17	ok
0.661	27	315.94	ok
0.761	7	216.56	ok
0.671	51	306.87	ok
0.684	0	293.99	ok
0.735	10	243.17	ok
0.688	4	289.74	ok
0.657	42	321.57	ok
0.675	43	305.38	ok
0.744	50	240.05	ok
0.726	49	260.12	ok
0.763	2	243.22	ok
