t_rel	session_idx	ms	outcome
0.564	106	251.01	ok
0.6	79	215.26	ok
0.378	156	439.28	ok
0.383	157	435.5	ok
0.366	27	452.64	ok
0.394	159	424.58	ok
0.391	158	432.14	ok
0.385	38	439.66	ok
0.366	29	458.78	ok
0.532	92	293.88	ok
0.367	32	458.37	ok
0.624	127	202.38	ok
0.554	62	272.49	ok
0.599	118	227.53	ok
0.591	115	236.53	ok
0.585	109	242.49	ok
0.599	117	230.62	ok
0.545	100	285.05	ok
0.563	103	267.58	ok
0.601	108	232.93	ok
0.565	105	268.8	ok
0.615	114	219.43	ok
0.617	126	219.35	ok
0.612	120	224.88	ok
0.633	129	205.52	ok
0.589	111	253.91	ok
0.639	123	203.66	ok
0.555	101	300.31	ok
0.611	121	251.89	ok
0.603	82	260.84	ok
0.392	40	472.32	ok
0.589	112	275.21	ok
0.592	119	272.43	ok
0.565	104	300.18	ok
0.554	98	311.33	ok
0.421	47	444.21	ok
0.553	71	312.4	ok
0.378	155	487.51	ok
0.653	132	215.09	ok
0.654	135	219.96	ok
0.641	130	238.94	ok
0.614	124	269.25	ok
0.655	136	234.59	ok
0.654	133	239.24	ok
0.621	125	274.84	ok
0.591	116	305.48	ok
0.593	107	304.32	ok
0.612	122	285.3	ok
0.59	113	306.85	ok
0.588	110	309.05	ok
0.635	131	262.85	ok
0.632	128	265.87	ok
0.663	139	243.41	ok
0.672	1	234.21	ok
0.674	145	233.08	ok
0.673	142	240.81	ok
0.687	10	226.51	ok
0.68	7	234.15	ok
0.693	13	221.44	ok
0.684	148	229.77	ok
0.682	4	236.31	ok
0.67	0	249.48	ok
0.691	144	228.46	ok
0.663	138	257.43	ok
0.667	140	255.2	ok
0.68	5	251.19	ok
0.695	19	244.45	ok
0.697	151	242.54	ok
0.683	147	261.31	ok
0.672	3	279.64	ok
0.697	16	254.83	ok
0.692	12	263.57	ok
0.67	141	290.42	ok
0.692	15	269.48	ok
0.673	2	290.04	ok
0.694	9	269.4	ok
0.683	6	281.59	ok
0.71	153	254.84	ok
0.711	154	254.59	ok
0.697	22	268.79	ok
0.731	34	235.88	ok
0.695	20	273.58	ok
0.675	143	293.75	ok
0.681	8	289.05	ok
0.655	134	315.77	ok
0.687	11	284.35	ok
0.662	137	308.99	ok
0.752	49	219.2	ok
0.7	31	271.26	ok
0.741	39	234.42	ok
0.695	17	281.42	ok
0.735	150	240.88	ratelimited
0.757	55	225.44	ok
0.696	21	289.14	ok
0.718	28	268.5	ok
0.756	48	233.56	ok
0.75	42	239.22	ok
0.756	33	233.35	ok
0.692	18	298.07	ok
0.693	149	297.94	ok
0.779	51	214.3	ok
0.759	53	235.78	ok
0.69	14	305.03	ok
0.756	36	241.26	ok
0.698	152	300.08	ok
0.759	44	239.28	ok
0.759	52	242.26	ok
0.691	146	312.67	ok
0.767	59	236.93	ok
0.736	41	276.0	ok
0.779	37	236.08	ok
0.765	43	250.91	ok
0.767	61	248.63	ok
0.766	58	250.51	ok
0.782	57	235.7	ok
0.777	65	254.66	ok
0.79	73	254.23	ok
0.782	30	264.84	ok
0.787	72	260.72	ok
0.79	68	264.9	ok
0.781	64	274.46	ok
0.761	46	296.2	ok
0.809	25	248.69	ratelimited
0.789	24	269.75	ok
0.795	54	265.06	ok
0.762	45	298.75	ok
0.806	81	259.79	ok
0.778	23	294.32	ok
0.799	78	281.76	ok
0.818	156	263.75	ratelimited
0.796	76	285.47	ok
0.798	26	285.8	ratelimited
0.825	29	259.28	ok
0.831	91	257.27	ok
0.819	159	269.36	ok
0.825	38	264.06	ok
0.862	97	226.48	ok
0.793	74	296.13	ok
0.897	103	193.15	ok
0.77	50	319.85	ok
0.846	93	244.43	ok
0.826	90	264.73	ok
0.849	66	242.32	ok
0.829	67	262.08	ok
0.862	88	229.86	ok
0.861	85	230.62	ok
0.811	84	281.25	ok
0.853	77	239.86	ok
0.798	35	295.47	ok
0.864	94	229.91	ok
0.826	32	268.33	ok
0.824	158	270.76	ok
0.819	27	276.03	ratelimited
0.784	70	311.16	ok
0.83	89	266.49	ok
0.854	86	247.24	ok
0.818	157	283.12	ratelimited
0.854	95	250.45	ok
0.855	56	250.99	ok
0.863	83	243.84	ok
0.856	80	250.65	ok
0.878	100	241.52	ok
0.85	60	271.65	ok
0.918	109	203.97	ok
0.922	112	199.89	ok
0.864	40	258.55	ok
0.852	87	270.77	ok
0.924	115	211.94	ok
0.933	118	204.6	ok
0.898	106	240.54	ok
0.865	47	273.36	ok
0.866	92	277.47	ok
0.866	155	278.39	ok
0.887	98	257.46	ok
0.991	136	163.84	ok
0.937	82	218.92	ok
0.975	130	181.41	ok
0.934	79	222.45	ok
0.898	104	260.98	ok
0.892	62	267.15	ok
0.85	69	309.9	ok
0.853	63	306.85	ok
0.947	124	214.39	ok
0.955	125	211.33	ok
0.926	119	240.85	ok
0.886	71	280.08	ok
0.888	101	278.4	ok
0.924	116	242.53	ok
0.945	121	222.22	ok
0.856	75	320.7	ok
0.922	110	255.18	ok
0.95	122	230.75	ok
0.987	133	197.19	ok
