t_rel	session_idx	ms	outcome
1.939	29	363.16	ok
1.942	27	361.21	ok
1.943	35	365.39	ok
1.957	45	357.44	ok
1.943	25	380.93	ok
1.957	22	367.91	ok
1.956	34	372.65	ok
1.967	42	392.81	ok
1.977	51	386.31	ok
1.942	36	421.97	ok
1.979	2	392.29	ok
1.963	21	444.17	ok
1.991	47	433.94	ok
1.978	52	448.5	ok
1.985	41	476.82	ok
1.98	32	511.51	ok
2.086	5	407.02	ok
2.104	49	389.85	ok
1.994	46	521.75	ok
1.993	44	538.8	ok
2.1	48	431.83	ok
2.114	0	419.14	ok
2.101	7	435.83	ok
2.122	15	415.78	ok
2.106	9	432.15	ok
1.994	50	545.4	ok
2.109	4	452.9	ok
2.107	3	456.1	ok
2.123	11	441.02	ok
2.13	26	434.49	ok
2.131	8	434.28	ok
2.132	31	434.44	ok
2.131	10	436.16	ok
2.102	37	465.25	ok
2.114	1	469.9	ok
2.129	16	455.93	ok
2.123	17	466.38	ok
2.174	13	438.27	ok
2.2	19	437.68	ok
2.143	33	495.53	ok
2.236	24	423.85	ok
2.168	23	500.73	ok
2.247	20	449.23	ok
2.271	28	426.14	ok
2.213	14	520.82	ok
2.286	43	479.1	ok
2.285	12	496.02	ok
2.259	40	539.48	ok
2.299	38	500.59	ok
2.286	39	526.16	ok
2.246	6	567.56	ok
2.302	29	529.18	ok
2.308	35	524.01	ok
2.299	30	533.81	ok
2.325	22	511.92	ok
2.303	27	534.46	ok
2.36	42	478.8	ok
2.427	52	415.42	ok
2.328	34	514.02	ok
2.287	18	556.06	ok
2.372	2	471.6	ok
2.324	25	519.51	ok
2.364	36	480.04	ok
2.314	45	531.03	ok
2.363	51	482.48	ok
2.492	32	367.33	ok
2.494	49	366.06	ok
2.425	47	435.1	ok
2.493	5	368.12	ok
2.407	21	453.77	ok
2.516	46	345.68	ok
2.462	41	417.2	ok
2.532	44	354.83	ok
2.532	48	409.44	ok
2.533	0	434.1	ok
2.539	9	443.71	ok
2.537	7	447.35	ok
2.564	11	423.54	ok
2.538	15	450.18	ok
2.562	4	426.82	ok
2.539	50	476.29	ok
2.563	3	473.48	ok
2.566	8	471.71	ok
2.567	10	492.89	ok
2.566	31	494.25	ok
2.565	26	500.21	ok
2.612	13	466.35	ok
2.567	37	522.71	ok
2.584	1	519.11	ok
2.696	20	407.93	ok
2.638	19	466.43	ok
2.59	17	515.04	ok
2.669	23	436.65	ok
2.586	16	521.31	ok
2.66	24	447.03	ok
2.639	33	470.42	ok
2.765	43	347.65	ok
2.734	14	385.21	ok
2.799	40	329.71	ok
2.697	28	437.95	ok
2.781	12	373.96	ok
2.833	35	332.68	ok
2.813	39	352.63	ok
2.799	38	385.83	ok
2.838	27	356.98	ok
2.814	6	381.79	ok
2.839	42	361.71	ok
2.832	29	369.16	ok
2.833	30	368.51	ok
2.843	2	436.1	ok
2.843	34	451.53	ok
2.842	52	452.51	ok
2.843	18	469.31	ok
2.837	22	476.14	ok
2.845	36	469.78	ok
2.859	32	457.17	ok
2.845	45	471.8	ok
2.861	21	456.27	ok
2.844	25	474.12	ok
2.86	47	458.88	ok
2.862	46	468.49	ok
2.846	51	484.99	ok
2.942	48	390.9	ok
2.861	5	472.64	ok
2.86	49	474.24	ok
2.887	44	457.84	ok
2.982	9	365.33	ok
2.967	0	383.86	ok
2.879	41	472.31	ok
2.985	7	377.74	ok
2.988	15	374.73	ok
2.989	4	403.69	ok
2.988	11	406.56	ok
3.016	50	379.57	ok
3.037	3	374.17	ok
3.038	8	373.89	ok
3.061	31	351.22	ok
3.09	37	341.47	ok
3.06	10	373.6	ok
3.065	26	369.09	ok
3.105	17	333.08	ok
3.106	23	361.22	ok
3.107	16	364.21	ok
3.105	19	393.62	ok
3.104	1	395.32	ok
3.104	20	395.22	ok
3.079	13	421.17	ok
3.109	33	394.31	ok
3.113	43	391.6	ok
3.135	28	388.75	ok
3.166	39	368.41	ok
3.132	40	402.94	ok
3.119	14	416.59	ok
3.195	27	341.38	ok
3.155	12	381.34	ok
3.108	24	429.71	ok
3.196	6	341.97	ok
3.185	38	353.01	ok
3.2	42	340.24	ok
3.17	35	370.88	ok
3.201	29	358.53	ok
3.28	2	306.74	ok
3.202	30	390.14	ok
3.314	22	293.06	ok
3.295	52	312.17	ok
3.294	34	313.18	ok
3.315	36	313.46	ok
3.317	32	314.65	ok
3.331	46	433.96	ok
3.333	48	439.04	ok
3.348	9	447.58	ok
3.313	18	485.93	ok
3.32	47	485.77	ok
3.334	5	472.35	ok
3.318	21	488.91	ok
3.317	45	493.9	ok
3.318	25	493.76	ok
3.334	49	478.44	ok
3.351	0	466.77	ok
3.363	7	456.16	ok
3.331	51	488.28	ok
3.345	44	476.28	ok
3.352	41	477.19	ok
3.412	31	422.37	ok
3.363	15	471.94	ok
3.395	50	449.44	ok
3.412	8	444.0	ok
3.394	11	481.56	ok
3.411	3	484.96	ok
3.439	17	480.63	ok
3.432	37	493.42	ok
3.393	4	545.26	ok
3.468	23	495.15	ok
3.5	13	614.59	ok
3.499	1	616.88	ok
3.504	33	616.03	ok
3.434	10	686.44	ok
3.5	20	621.17	ok
3.505	43	625.53	ok
3.535	40	599.98	ok
3.471	16	664.54	ok
3.499	19	640.85	ok
3.535	39	605.38	ok
3.536	14	604.5	ok
3.613	2	527.6	ok
3.434	26	707.04	ok
3.537	12	604.93	ok
3.592	30	554.38	ok
3.524	28	623.15	ok
3.541	35	606.57	ok
3.56	29	588.54	ok
3.538	38	611.09	ok
3.65	32	501.2	ok
3.629	52	524.68	ok
3.765	46	389.8	ok
3.538	6	616.79	ok
3.648	36	507.28	ok
3.537	24	618.32	ok
3.647	22	509.14	ok
3.807	21	349.8	ok
3.632	34	525.28	ok
3.772	48	385.01	ok
3.796	9	362.26	ok
3.806	5	353.14	ok
3.811	45	348.71	ok
3.805	47	354.98	ok
3.536	27	624.37	ok
3.541	42	620.48	ok
3.799	18	373.13	ok
3.812	25	397.53	ok
3.835	31	406.75	ok
3.818	0	424.77	ok
3.819	51	423.98	ok
3.813	49	448.2	ok
3.819	7	448.82	ok
3.829	41	463.48	ok
3.835	15	466.67	ok
3.896	3	410.94	ok
3.856	8	464.72	ok
3.92	17	401.94	ok
3.845	50	479.88	ok
3.877	11	453.49	ok
3.821	44	520.32	ok
4.116	1	241.16	ok
4.136	16	254.83	ok
4.15	38	276.49	ok
4.141	26	316.1	ok
3.963	23	495.18	ok
4.121	20	345.31	ok
4.13	43	343.5	ok
3.939	4	538.36	ok
4.141	2	352.46	ok
4.115	13	379.56	ok
3.926	37	586.19	ok
4.135	40	377.83	ok
4.151	32	362.31	ok
4.12	33	398.09	ok
4.141	14	379.31	ok
4.142	12	385.07	ok
4.148	28	380.43	ok
4.154	52	378.84	ok
4.14	39	393.53	ok
4.12	10	414.13	ok
4.147	30	436.5	ok
4.155	46	446.12	ok
4.14	19	487.64	ok
4.156	24	494.41	ok
4.158	48	493.69	ok
4.148	35	503.95	ok
4.157	34	496.54	ok
4.155	36	518.93	ok
4.159	5	530.79	ok
4.157	21	534.22	ok
4.158	9	533.38	ok
4.156	22	535.92	ok
4.16	45	534.88	ok
4.161	42	534.34	ok
4.161	27	535.42	ok
4.161	47	536.49	ok
4.172	18	539.48	ok
4.148	29	567.41	ok
4.243	0	473.41	ok
4.155	6	562.82	ok
4.242	31	479.11	ok
4.21	25	511.81	ok
4.302	15	420.22	ok
4.244	51	480.66	ok
4.261	49	464.08	ok
4.307	3	424.2	ok
4.321	8	411.47	ok
4.268	7	465.12	ok
4.324	17	425.12	ok
4.293	41	466.12	ok
4.325	50	435.1	ok
4.45	1	311.29	ok
4.33	11	430.98	ok
4.342	44	419.92	ok
4.458	23	306.43	ok
4.473	16	297.45	ok
4.467	20	303.79	ok
4.474	43	300.45	ok
4.475	26	299.45	ok
4.483	38	293.85	ok
4.494	2	293.46	ok
4.512	37	278.31	ok
4.477	4	319.87	ok
4.514	32	290.96	ok
4.495	13	310.75	ok
4.518	33	292.93	ok
4.52	14	329.17	ok
4.513	40	336.09	ok
4.527	12	324.89	ok
4.528	28	368.33	ok
4.534	39	363.71	ok
4.533	52	370.64	ok
4.535	10	405.78	ok
4.674	36	267.11	ok
4.583	30	360.73	ok
4.651	48	319.02	ok
4.601	46	369.94	ok
4.691	21	280.5	ok
4.627	19	366.23	ok
4.69	5	304.04	ok
4.654	34	349.26	ok
4.652	35	360.96	ok
4.697	47	360.34	ok
4.696	42	362.32	ok
4.717	0	359.59	ok
4.718	6	359.04	ok
4.65	24	427.02	ok
4.695	45	382.69	ok
4.697	27	381.8	ok
4.692	22	386.44	ok
4.722	25	359.05	ok
4.692	9	397.43	ok
4.716	29	374.31	ok
4.721	31	370.03	ok
4.712	18	379.97	ok
4.723	15	369.57	ok
4.726	49	371.36	ok
4.732	8	376.9	ok
4.732	3	380.35	ok
4.733	7	398.75	ok
4.724	51	408.29	ok
4.76	50	401.1	ok
4.75	17	414.86	ok
4.762	44	417.24	ok
4.761	11	418.76	ok
4.759	41	421.52	ok
4.785	1	396.47	ok
4.802	20	391.89	ok
4.792	23	406.04	ok
4.806	16	392.59	ok
4.818	38	404.26	ok
4.832	2	390.79	ok
4.811	4	412.86	ok
4.809	26	418.99	ok
4.811	43	432.05	ok
4.846	37	408.66	ok
4.85	40	423.04	ok
4.842	13	461.9	ok
4.856	33	462.2	ok
4.855	14	464.4	ok
4.861	12	466.73	ok
4.858	32	469.91	ok
4.904	52	435.96	ok
4.971	46	376.03	ok
4.941	10	406.99	ok
4.897	28	451.35	ok
4.898	39	451.18	ok
4.944	30	410.0	ok
4.994	19	373.97	ok
4.988	48	382.94	ok
