t_rel	session_idx	ms	outcome
0.022	12	120.14	ok
0.007	6	134.87	ok
0.024	15	119.5	ok
0.017	8	158.28	ok
0.027	21	167.81	ok
0.046	30	153.43	ok
0.005	3	196.22	ok
0.003	0	201.24	ok
0.004	1	202.87	ok
0.048	33	160.78	ok
0.028	24	183.43	ok
0.02	9	192.87	ok
0.068	36	145.49	ok
0.025	18	188.4	ok
0.033	27	186.59	ok
0.026	19	206.51	ok
0.006	4	228.08	ok
0.022	13	221.12	ok
0.023	14	228.78	ok
0.025	16	228.74	ok
0.124	60	139.8	ok
0.026	20	237.27	ok
0.109	51	154.79	ok
0.025	17	243.79	ok
0.027	22	263.07	ok
0.005	2	296.04	ok
0.008	7	302.09	ok
0.032	25	281.86	ok
0.028	23	290.01	ok
0.006	5	312.39	ok
0.091	45	251.45	ok
0.081	42	263.42	ok
0.021	11	324.57	ok
0.02	10	326.25	ok
0.048	34	299.44	ok
0.047	32	307.87	ok
0.098	48	276.68	ok
0.07	39	306.39	ok
0.037	29	341.53	ok
0.119	57	260.62	ok
0.087	44	293.78	ok
0.073	40	307.52	ok
0.033	28	348.69	ok
0.079	41	302.94	ok
0.047	31	347.35	ok
0.032	26	389.37	ok
0.234	90	188.53	ok
0.113	54	320.77	ok
0.11	52	327.04	ok
0.069	37	370.48	ok
0.053	35	392.52	ok
0.069	38	377.72	ok
0.179	75	282.67	ok
0.173	73	300.3	ok
0.094	47	390.77	ok
0.205	85	282.24	ok
0.223	88	264.7	ok
0.122	59	395.82	ok
0.108	50	416.36	ok
0.178	74	347.26	ok
0.207	86	318.83	ok
0.11	53	416.75	ok
0.163	72	364.38	ok
0.128	63	400.63	ok
0.291	105	239.28	ok
0.21	87	320.54	ok
0.203	84	330.24	ok
0.115	56	424.9	ok
0.138	69	412.7	ok
0.146	71	416.23	ok
0.235	92	327.45	ok
0.084	43	478.84	ok
0.127	61	437.21	ok
0.129	65	438.41	ok
0.093	46	475.28	ok
0.187	77	398.99	ok
0.137	68	449.54	ok
0.19	80	397.05	ok
0.103	49	487.49	ok
0.31	107	286.28	ok
0.341	0	265.72	ok
0.312	108	294.84	ok
0.244	94	369.91	ok
0.333	117	289.14	ok
0.19	81	432.31	ok
0.343	123	280.01	ok
0.357	15	266.17	ok
0.268	99	355.66	ok
0.188	78	441.28	ok
0.129	66	500.35	ok
0.235	93	395.0	ok
0.255	96	375.95	ok
0.254	95	379.75	ok
0.353	3	283.74	ok
0.233	89	406.08	ok
0.127	62	513.44	ok
0.334	119	307.73	ok
0.143	70	503.39	ok
0.191	82	455.61	ok
0.235	91	412.53	ok
0.317	114	333.59	ok
0.347	6	303.64	ok
0.335	120	316.67	ok
0.356	12	295.39	ok
0.273	102	378.23	ok
0.122	58	540.13	ok
0.262	97	400.34	ok
0.189	79	474.1	ok
0.128	64	535.62	ok
0.183	76	480.98	ok
0.114	55	550.27	ok
0.288	104	377.38	ok
0.268	98	398.22	ok
0.344	2	332.45	ok
0.375	18	301.9	ok
0.363	129	314.64	ok
0.315	111	362.22	ok
0.361	9	317.68	ok
0.379	30	300.04	ok
0.342	7	339.98	ok
0.342	1	339.51	ok
0.343	5	339.91	ok
0.272	100	411.89	ok
0.36	22	323.34	ok
0.133	67	551.08	ok
0.282	103	402.61	ok
0.299	106	386.05	ok
0.35	8	335.92	ok
0.355	11	331.2	ok
0.313	109	374.43	ok
0.314	110	374.07	ok
0.334	118	354.88	ok
0.375	16	314.14	ok
0.374	10	316.13	ok
0.273	101	417.06	ok
0.193	83	497.46	ok
0.344	4	347.0	ok
0.316	113	376.28	ok
0.347	125	346.08	ok
0.377	24	316.45	ok
0.335	122	359.58	ok
0.358	17	336.99	ok
0.317	115	379.35	ok
0.335	121	364.62	ok
0.374	19	326.13	ok
0.357	14	354.71	ok
0.378	29	337.17	ok
0.42	41	296.0	ok
0.374	23	342.46	ok
0.383	32	338.69	ok
0.327	116	395.08	ok
0.361	20	361.95	ok
0.422	26	302.85	ok
0.404	134	321.05	ok
0.316	112	409.91	ok
0.349	126	377.02	ok
0.38	25	346.53	ok
0.379	21	348.61	ok
0.403	39	340.41	ok
0.379	13	365.81	ok
0.382	33	363.07	ok
0.373	27	372.44	ok
0.474	150	272.24	ok
0.493	156	253.11	ok
0.346	124	400.56	ok
0.398	132	350.71	ok
0.382	28	375.19	ok
0.394	31	369.04	ok
0.35	127	415.65	ok
0.383	34	383.98	ok
0.528	63	247.58	ok
0.528	72	260.73	ok
0.362	128	432.04	ok
0.44	140	356.36	ok
0.447	38	351.51	ok
0.397	131	402.0	ok
0.537	84	266.53	ok
0.392	130	419.35	ok
0.485	47	327.6	ok
0.446	35	367.26	ok
0.423	36	391.62	ok
0.551	69	264.56	ok
0.544	87	272.24	ok
0.541	86	286.38	ok
0.417	40	412.1	ok
0.44	37	390.12	ok
0.402	133	427.6	ok
0.525	50	308.17	ok
0.453	54	386.87	ok
0.453	57	386.84	ok
0.495	157	346.65	ok
0.443	51	400.04	ok
0.457	60	387.89	ok
0.562	71	283.29	ok
0.462	146	383.47	ok
0.527	53	326.18	ok
0.518	59	345.75	ok
0.557	88	309.34	ok
0.422	42	450.8	ok
0.543	85	332.16	ok
0.526	74	354.31	ok
0.452	143	430.58	ok
0.456	52	429.93	ok
0.564	61	323.32	ok
0.475	154	412.21	ok
0.563	43	325.34	ok
0.432	48	461.51	ok
0.569	46	328.1	ok
0.421	44	476.7	ok
0.483	155	415.13	ok
0.507	73	392.42	ok
0.433	139	466.45	ok
0.503	158	398.15	ok
0.54	56	362.49	ok
0.418	138	489.33	ok
0.468	148	443.68	ok
0.405	135	510.81	ok
0.508	159	408.84	ok
0.405	136	513.64	ok
0.475	153	448.26	ok
0.441	141	483.28	ok
0.568	90	356.7	ok
0.451	142	474.38	ok
0.567	65	363.84	ok
0.623	81	308.79	ok
0.569	92	363.93	ok
0.424	45	512.07	ok
0.417	137	520.42	ok
0.52	75	417.95	ok
0.453	145	485.19	ok
0.591	49	353.33	ok
0.629	78	334.71	ok
0.475	152	499.83	ok
0.474	151	508.18	ok
0.646	108	353.11	ok
0.614	94	389.16	ok
0.586	68	420.11	ok
0.586	77	426.16	ok
0.641	62	371.85	ok
0.666	104	347.9	ok
0.647	82	371.07	ok
0.647	91	375.72	ok
0.646	70	382.06	ok
0.587	80	452.38	ok
0.664	76	380.82	ok
0.634	95	412.36	ok
0.631	96	415.33	ok
0.667	119	380.24	ok
0.666	98	382.09	ok
0.473	149	575.37	ok
0.664	64	387.33	ok
0.663	97	389.54	ok
0.678	2	375.54	ok
0.64	89	414.89	ok
0.688	110	367.25	ok
0.684	67	377.1	ok
0.644	107	418.95	ok
0.686	8	377.31	ok
0.631	93	434.57	ok
0.689	11	379.41	ok
0.682	7	388.86	ok
0.686	106	390.84	ok
0.665	55	412.29	ok
0.684	100	394.18	ok
0.663	79	415.39	ok
0.683	5	396.68	ok
0.682	1	398.08	ok
0.69	101	390.7	ok
0.662	58	421.61	ok
0.694	22	390.77	ok
0.452	144	634.5	ok
0.628	99	458.97	ok
0.63	105	457.92	ok
0.691	83	402.26	ok
0.693	113	401.54	ok
0.693	125	401.66	ok
0.685	103	410.92	ok
0.687	109	409.33	ok
0.689	118	408.38	ok
0.697	115	408.16	ok
0.674	0	431.59	ok
0.692	4	415.06	ok
0.652	102	455.72	ok
0.668	120	445.11	ok
0.681	6	434.24	ok
