arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi
A	discard	5	150	15.29	100.00	21.3	23.0	24.9	0	0	0	1786870592.443	1786870602.253
A	r1	5	150	15.14	100.00	21.5	30.0	32.7	0	0	0	1786870633.739	1786870643.646
A	r1	10	300	30.06	100.00	21.2	26.1	28.4	0	0	0	1786870675.514	1786870685.495
B	discard	5	150	15.12	100.00	22.3	33.9	36.2	0	0	0	1786870743.161	1786870753.084
B	r1	5	150	15.31	100.00	21.8	23.8	34.0	0	0	0	1786870796.207	1786870806.006
B	r1	10	300	30.05	100.00	21.5	29.3	33.0	0	0	0	1786870848.968	1786870858.951
C	discard	5	150	15.08	100.00	21.1	25.7	26.0	0	0	0	1786870950.518	1786870960.462
C	r1	5	149	15.28	100.00	21.0	22.8	28.9	0	0	0	1786871003.404	1786871013.157
C	r1	10	298	29.87	100.00	21.3	27.5	32.7	0	0	0	1786871056.202	1786871066.180
