tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
uk_with_p1	1062.7	5313.5	84	114	239	0	30000	180684	17283	596.0	643500032
uk_without_p2	1075.5	5377.5	85	111	168	0	30000	180684	17256	595.0	636064256
uk_without_p3	1108.0	5540.0	85	108	158	0	30000	180665	17375	599.1	635829760
uk_with_p4	1067.0	5335.0	84	114	363	0	30000	180689	17226	594.0	646198272
uk_without_p5	1092.8	5464.0	85	109	167	0	30000	180665	17195	592.9	636248064
uk_with_p6	1065.4	5327.0	85	112	378	0	30000	180693	17298	596.5	645449216
uk_with_p7	1054.7	5273.5	85	114	339	0	30000	180708	17288	596.1	644480512
uk_without_p8	1099.0	5495.0	84	110	176	0	30000	180664	17120	611.4	636995584
