tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
rw_rewrite_p1	948.2	4741.0	88	160	449	0	30000	180756	18195	551.4	637395968
rw_norewrite_p2	960.4	4802.0	95	133	288	0	30000	420756	22365	677.7	529245184
rw_norewrite_p3	972.9	4864.5	94	129	209	0	30000	420752	22156	692.4	527730688
rw_rewrite_p4	837.4	4187.0	88	342	595	0	30000	180852	18171	491.1	631310848
rw_norewrite_p5	971.4	4857.0	95	129	209	0	30000	420756	21839	704.5	525441536
rw_rewrite_p6	936.9	4684.5	88	173	454	0	30000	180776	18094	548.3	635526144
rw_rewrite_p7	972.3	4861.5	88	129	444	0	30000	180736	17869	558.4	637270016
rw_norewrite_p8	954.3	4771.5	95	134	338	0	30000	420780	21957	665.4	531449856
