workers block deadlocks attempts other_err rows
2 0 1 80 0 50
4 0 18 160 0 100
8 0 137 320 0 200
16 0 312 640 0 400
4 1 58 160 0 100
8 1 60 320 0 200
16 1 381 640 0 400
2 1 0 80 0 50
8 2 135 320 0 200
16 2 384 640 0 400
2 2 1 80 0 50
4 2 46 160 0 100
16 3 312 640 0 400
2 3 1 80 0 50
4 3 37 160 0 100
8 3 142 320 0 200
