tag	arm	sessions	target_rps	achieved_rps	count	ok	fail	p50_ms	p95_ms	p99_ms
C_discard_5	C	5	19	18.8	569	569	0	10.9	15.1	18.0
C_r1_5	C	5	19	18.9	569	569	0	10.0	12.2	13.0
A_discard_5	A	5	-	-	-	-	-	-	-	-
A_r1_5	A	5	-	-	-	-	-	-	-	-
B_discard_5	B	5	19	18.9	569	569	0	10.4	12.9	14.1
B_r1_5	B	5	19	18.7	569	569	0	9.7	12.0	12.6
B_lc2_t1_10	B	10	19	19.0	569	569	0	9.8	11.8	12.6
B_lcF_t1_10	B	10	19	18.9	569	569	0	9.7	11.9	13.0
