level	rate	dur	iters	failed	dropped	conflict	conflict_pct	start_p50	start_p99	end_p50	end_p99
r20	2.0	90	180	3	0	0	0.0	14.73	49.42	10.19	22.56
r25	2.5	90	225	7	0	6	2.7	12.70	17.34	8.57	15.19
r30	3.0	90	271	7	0	29	10.7	10.95	16.60	7.22	14.90
r35	3.5	90	315	3	0	48	15.2	10.60	13.79	7.01	17.27
r40	4.0	90	361	6	0	89	24.7	9.74	13.61	6.56	15.33
r25b	2.5	90	226	4	0	22	9.7	10.02	13.18	7.20	14.65
r30b	3.0	90	271	2	0	53	19.6	9.83	16.53	6.68	13.07
r35b	3.5	90	315	4	0	82	26.0	9.35	13.01	6.37	12.98
