level	rate	n	min_ms	p50_ms	p90_ms	p99_ms	max_ms
r20	2.0	110	0.0	1000.0	1000.0	2000.0	2000.0
r25	2.5	115	0.0	1000.0	1000.0	1000.0	1000.0
r30	3.0	103	0.0	1000.0	1000.0	2000.0	2000.0
r35	3.5	91	0.0	1000.0	1000.0	1000.0	1000.0
r40	4.0	79	0.0	1000.0	1000.0	1000.0	2000.0
r25b	2.5	120	0.0	1000.0	1000.0	1000.0	1000.0
r30b	3.0	106	0.0	1000.0	1000.0	18000.0	19000.0
r35b	3.5	93	0.0	1000.0	1000.0	2000.0	2000.0
