round	arm	backup_s	artifact_mb	restore_s	attempts	errors	max_stall_ms	p50_ms	disk_peak_mb	verify
discard	A	175	5682	1302	1019	0	90	4	10244	일치(100000184 ∈ [100000016,100001019]) cs=3710775701
discard	B	140	10367	9	698	0	248	11	10244	일치(100001705 ∈ [100001035,100001717]) cs=3707126943
r1	A	177	5682	1282	968	0	104	4	10244	일치(100001846 ∈ [100001733,100002685]) cs=1437944971
r2	B	139	10367	9	688	0	244	13	10244	일치(100003365 ∈ [100002701,100003373]) cs=518241153
r3	B	144	10367	8	702	0	244	13	10244	일치(100004062 ∈ [100003389,100004075]) cs=1314465544
r4	A	178	5682	1304	985	0	126	3	10244	일치(100004204 ∈ [100004091,100005060]) cs=6295121
r5	A	168	5682	1294	962	0	42	2	10244	일치(100005207 ∈ [100005076,100006022]) cs=485558163
r6	B	140	10367	9	688	0	296	13	10244	일치(100006702 ∈ [100006038,100006710]) cs=1293426941
c1	C	2	10245	-	140	0	2692	5	10244	대조군(복구 미측정)
