epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786948501	17.4	0.0	16.0	0.11	904.5	7783.1	0.00	0.00
1786948506	29.0	4.0	3.4	0.11	956.4	7783.1	0.02	0.13
1786948511	9.2	3.4	3.2	0.10	914.3	7783.1	0.01	0.01
1786948516	6.2	3.4	3.0	0.09	918.7	7783.1	0.01	0.01
1786948521	7.4	3.4	3.4	0.08	903.8	7783.1	0.01	0.01
1786948526	4.6	3.4	2.8	0.07	906.5	7783.1	0.01	0.01
1786948531	8.0	3.4	3.6	0.07	907.5	7783.1	0.01	0.01
1786948536	5.6	3.4	3.0	0.14	898.6	7783.1	0.01	0.01
1786948541	8.4	3.4	3.4	0.13	907.9	7783.1	0.01	0.01
1786948546	6.6	3.4	2.8	0.12	911.0	7783.1	0.01	0.01
1786948551	8.0	3.6	2.4	0.11	918.6	7783.1	0.01	0.01
1786948556	7.4	3.2	1.8	0.10	933.8	7783.1	0.01	0.01
1786948561	4.2	3.4	1.2	0.09	936.5	7783.1	0.01	0.01
1786948566	5.6	3.4	1.2	0.09	939.3	7783.1	0.01	0.01
1786948572	4.8	3.6	1.0	0.08	941.6	7783.1	0.01	0.01
1786948577	7.4	3.6	1.2	0.07	932.3	7783.1	0.01	0.01
1786948582	5.0	3.2	1.4	0.07	952.5	7783.1	0.01	0.01
1786948587	4.6	3.6	1.2	0.06	984.7	7783.1	0.01	0.01
1786948592	5.8	3.2	2.0	0.06	1002.1	7783.1	0.01	0.01
1786948597	5.2	-1	1.0	0.05	983.8	7783.1	0.00	0.01
