epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786944359	6.6	3.4	0.0	0.07	583.1	7783.1	0.00	0.01
1786944364	3.6	3.2	0.0	0.06	584.3	7783.1	0.01	0.01
1786944369	3.4	3.0	0.0	0.06	584.6	7783.1	0.01	0.01
1786944374	4.8	3.2	0.0	0.05	585.1	7783.1	0.01	0.01
1786944379	4.4	3.0	0.0	0.05	585.1	7783.1	0.01	0.01
1786944384	4.0	2.8	0.0	0.04	585.1	7783.1	0.01	0.01
1786944389	2.6	3.0	0.0	0.04	585.3	7783.1	0.01	0.01
1786944394	1.6	3.2	0.0	0.12	585.3	7783.1	0.01	0.01
1786944399	4.4	3.0	0.0	0.11	585.8	7783.1	0.01	0.01
1786944405	5.0	3.2	0.0	0.10	588.4	7783.1	0.01	0.01
1786944410	4.2	3.0	0.0	0.09	588.6	7783.1	0.01	0.01
1786944415	4.8	3.0	0.0	0.08	588.6	7783.1	0.01	0.01
1786944420	4.4	3.2	0.0	0.08	589.9	7783.1	0.01	0.01
1786944425	4.8	3.2	0.0	0.07	590.8	7783.1	0.01	0.01
1786944430	3.6	3.0	0.0	0.06	590.8	7783.1	0.01	0.01
1786944435	4.2	3.0	0.0	0.06	591.1	7783.1	0.01	0.01
1786944440	4.2	3.2	0.0	0.05	591.8	7783.1	0.01	0.01
1786944445	4.6	3.0	0.0	0.05	592.5	7783.1	0.01	0.01
