epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786944098	15.4	0.0	14.4	0.00	888.6	7783.1	0.00	0.00
1786944103	6.6	2.0	2.6	0.00	929.3	7783.1	0.00	0.01
1786944108	10.0	7.0	2.8	0.00	906.6	7783.1	0.01	0.02
1786944113	16.0	11.4	2.6	0.00	910.0	7783.1	0.02	0.04
1786944118	15.5	11.5	3.0	0.00	920.4	7783.1	0.02	0.04
1786944123	16.8	11.8	2.6	0.00	911.1	7783.1	0.02	0.04
1786944128	12.5	11.3	3.0	0.00	913.6	7783.1	0.02	0.04
1786944133	16.2	11.4	2.6	0.00	903.4	7783.1	0.02	0.04
1786944138	13.5	11.3	2.6	0.00	910.8	7783.1	0.02	0.04
1786944143	14.3	11.1	3.0	0.08	926.1	7783.1	0.02	0.04
1786944148	15.8	11.4	1.8	0.07	933.3	7783.1	0.02	0.04
1786944153	11.3	11.5	1.0	0.07	923.7	7783.1	0.02	0.04
1786944158	11.5	11.1	1.2	0.06	940.6	7783.1	0.02	0.04
1786944163	14.4	11.4	1.6	0.14	956.3	7783.1	0.02	0.04
1786944168	12.4	11.2	1.2	0.13	959.5	7783.1	0.02	0.04
1786944173	13.2	11.0	1.0	0.12	964.4	7783.1	0.02	0.04
1786944178	11.1	11.3	0.8	0.19	966.8	7783.1	0.02	0.04
1786944183	12.2	11.2	1.0	0.17	957.7	7783.1	0.02	0.04
1786944188	12.1	11.5	1.2	0.16	968.7	7783.1	0.02	0.04
1786944193	13.0	11.2	1.2	0.14	1003.6	7783.1	0.02	0.04
