epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786952198	5.0	1.8	0.0	0.00	606.7	7783.1	0.00	0.00
1786952203	3.4	3.6	0.0	0.00	611.1	7783.1	0.00	0.01
1786952209	15.3	14.5	0.0	0.00	613.8	7783.1	0.03	0.04
1786952214	17.0	13.8	0.0	0.08	614.0	7783.1	0.03	0.04
1786952219	16.4	14.0	0.0	0.07	614.5	7783.1	0.03	0.04
1786952224	12.1	14.1	0.0	0.07	614.5	7783.1	0.03	0.04
1786952229	12.3	13.9	0.0	0.14	615.2	7783.1	0.03	0.04
1786952234	11.9	14.2	0.0	0.13	615.7	7783.1	0.03	0.04
1786952239	11.5	14.2	0.0	0.12	616.5	7783.1	0.03	0.04
1786952244	15.3	13.7	0.0	0.11	617.9	7783.1	0.03	0.04
1786952249	11.9	14.2	0.0	0.18	619.1	7783.1	0.03	0.04
1786952254	11.9	14.1	0.0	0.17	619.4	7783.1	0.03	0.04
1786952259	12.1	14.2	0.0	0.15	620.1	7783.1	0.03	0.04
1786952264	14.1	14.1	0.0	0.22	621.6	7783.1	0.03	0.04
1786952269	11.3	14.0	0.0	0.20	622.1	7783.1	0.03	0.04
1786952274	13.5	13.7	0.0	0.19	622.8	7783.1	0.03	0.04
1786952279	14.5	14.1	0.0	0.17	625.7	7783.1	0.03	0.04
1786952284	13.5	14.3	0.0	0.16	626.0	7783.1	0.03	0.04
1786952289	13.9	14.1	0.0	0.14	627.7	7783.1	0.03	0.04
1786952294	11.9	-1	0.0	0.13	590.0	7783.1	0.02	0.03
