epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786954636	24.5	0.2	21.5	0.20	920.9	7783.1	0.00	0.00
1786954641	10.8	4.0	5.0	0.19	955.3	7783.1	0.00	0.01
1786954646	11.5	3.2	5.2	0.17	919.4	7783.1	0.00	0.01
1786954651	14.8	9.4	4.6	0.16	935.4	7783.1	0.01	0.02
1786954656	35.3	26.3	5.2	0.15	943.7	7783.1	0.02	0.05
1786954661	38.0	31.0	4.8	0.13	934.8	7783.1	0.03	0.05
1786954667	35.5	30.6	5.3	0.20	925.9	7783.1	0.03	0.05
1786954672	33.0	30.6	4.5	0.19	930.5	7783.1	0.03	0.05
1786954677	38.2	31.3	5.9	0.17	947.7	7783.1	0.03	0.05
1786954682	35.3	30.6	4.7	0.24	950.6	7783.1	0.03	0.05
1786954687	35.1	30.7	3.9	0.22	963.1	7783.1	0.03	0.05
1786954692	36.0	30.4	3.0	0.20	987.3	7783.1	0.03	0.05
1786954697	122.4	118.7	3.6	0.18	1012.1	7783.1	0.03	0.05
1786954702	137.0	135.0	2.6	0.25	1016.7	7783.1	0.03	0.05
1786954707	143.2	135.8	2.6	0.39	1019.9	7783.1	0.03	0.05
1786954712	134.1	127.3	2.6	0.44	1012.7	7783.1	0.03	0.05
1786954717	102.3	100.1	2.6	0.40	1017.6	7783.1	0.03	0.05
1786954722	71.2	66.5	2.4	0.37	1020.3	7783.1	0.03	0.05
1786954727	31.8	31.2	2.6	0.34	1034.6	7783.1	0.03	0.05
1786954732	36.5	29.7	3.4	0.31	1050.0	7783.1	0.03	0.05
1786954737	59.0	30.7	-1	0.29	642.3	7783.1	0.03	0.05
1786954742	21.0	-1	0.0	0.27	602.2	7783.1	0.02	0.03
