epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786948795	16.4	0.0	16.0	0.00	912.0	7783.1	0.00	0.00
1786948800	7.8	2.4	3.2	0.00	928.7	7783.1	0.00	0.01
1786948805	11.8	7.6	3.6	0.00	913.7	7783.1	0.01	0.02
1786948810	35.7	10.0	3.0	0.00	906.3	7783.1	0.02	0.08
1786948815	14.2	9.8	3.6	0.00	917.3	7783.1	0.02	0.03
1786948820	13.2	9.8	2.8	0.00	906.6	7783.1	0.02	0.03
1786948825	14.2	9.8	3.6	0.00	909.6	7783.1	0.02	0.03
1786948830	14.0	9.8	3.0	0.00	912.7	7783.1	0.02	0.03
1786948835	12.3	9.6	2.6	0.00	914.7	7783.1	0.02	0.03
1786948840	13.3	9.6	3.8	0.00	926.6	7783.1	0.02	0.03
1786948845	11.7	9.9	2.4	0.00	922.4	7783.1	0.02	0.03
1786948850	10.8	9.6	1.0	0.00	924.6	7783.1	0.02	0.03
1786948855	11.6	9.6	1.2	0.00	940.1	7783.1	0.02	0.03
1786948860	11.2	9.8	1.6	0.00	978.0	7783.1	0.02	0.03
1786948865	11.0	9.6	1.8	0.00	974.8	7783.1	0.02	0.03
1786948870	10.5	9.8	1.0	0.00	980.1	7783.1	0.02	0.03
1786948875	12.8	9.8	1.2	0.00	984.0	7783.1	0.02	0.03
1786948880	10.8	9.8	1.0	0.00	986.7	7783.1	0.02	0.03
1786948885	11.6	9.8	1.2	0.00	990.6	7783.1	0.02	0.03
1786948890	11.0	9.8	1.2	0.00	994.0	7783.1	0.02	0.03
