epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib	rx_mbps	tx_mbps
1786955293	23.8	0.2	20.4	0.36	917.6	7783.1	0.00	0.00
1786955298	11.8	3.6	4.8	0.41	885.8	7783.1	0.00	0.01
1786955303	13.3	5.4	4.4	0.38	894.2	7783.1	0.00	0.01
1786955308	30.2	20.3	4.6	0.35	911.6	7783.1	0.02	0.04
1786955313	34.9	28.6	4.0	0.32	913.4	7783.1	0.03	0.05
1786955318	31.1	27.8	4.9	0.29	916.6	7783.1	0.03	0.05
1786955323	40.2	29.0	4.0	0.27	926.9	7783.1	0.03	0.05
1786955328	36.4	28.3	4.6	0.25	929.0	7783.1	0.03	0.05
1786955333	36.0	28.9	4.2	0.31	918.4	7783.1	0.03	0.05
1786955338	33.5	29.6	4.1	0.28	936.2	7783.1	0.03	0.05
1786955343	36.2	28.4	4.2	0.26	989.1	7783.1	0.03	0.05
1786955348	72.4	66.0	2.4	0.24	990.9	7783.1	0.03	0.05
1786955353	108.9	93.0	2.0	0.22	994.9	7783.1	0.03	0.05
1786955358	105.8	95.1	2.0	0.36	997.2	7783.1	0.03	0.05
1786955363	99.8	94.4	2.2	0.33	999.6	7783.1	0.03	0.05
1786955368	87.7	84.7	1.8	0.31	1002.6	7783.1	0.03	0.05
1786955373	71.7	65.3	2.4	0.28	1029.8	7783.1	0.03	0.05
1786955378	31.7	29.7	3.0	0.26	1032.3	7783.1	0.03	0.05
1786955383	27.3	29.0	2.3	0.32	1037.7	7783.1	0.03	0.05
1786955388	32.2	29.1	2.2	0.29	1041.2	7783.1	0.03	0.05
1786955393	55.0	-1	-1	0.35	600.4	7783.1	0.03	0.04
