ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-08-29T15:23:23Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	cpu	18357202.3	iter/s	0.1634	
2026-08-29T15:23:23Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	infer	55.52	fps	1.8013	0.10.21
