ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-08-29T15:36:13Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	cpu	18896458.7	iter/s	0.1588	
2026-08-29T15:36:13Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	infer	67.42	fps	1.4832	0.10.21
