ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-08-29T14:28:09Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	cpu	17651918.0	iter/s	0.17	
2026-08-29T14:28:09Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	infer	49.14	fps	2.0349	0.10.21
