ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-08-29T15:06:52Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	cpu	18715751.6	iter/s	0.1603	
2026-08-29T15:06:52Z	None	4	2	3.12.13	Intel(R) Xeon(R) Platinum 8488C	infer	67.91	fps	1.4726	0.10.21
