phase	status	seconds	started_at
coresidency_preflight	OK	3	2026-08-16T08:55:56+00:00
coresidency_rehearsal	OK	535	2026-08-16T08:55:59+00:00
coresidency	OK	7387	2026-08-16T09:04:55+00:00
collect	OK	1	2026-08-16T11:08:03+00:00
