arm round deadlocks attempts other_err rows
same_partition 0 138 320 0 200
same_partition 1 110 320 0 200
same_partition 2 129 320 0 200
same_partition 3 134 320 0 200
diff_partition 0 0 320 0 200
diff_partition 1 0 320 0 200
diff_partition 2 0 320 0 200
diff_partition 3 0 320 0 200
single_session 0 0 320 0 25
single_session 1 0 320 0 25
single_session 2 0 320 0 25
single_session 3 0 320 0 25
