arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi	loader_cpus
B	discard	10	299	30.03	100.00	24.4	31.2	40.6	0	0	0	1786897654.995	1786897664.952	full
B	anc1	10	299	30.05	100.00	24.8	30.4	39.7	0	0	0	1786897706.700	1786897716.649	full
A	discard	5	150	15.05	100.00	24.3	25.3	25.6	0	0	0	1786897775.385	1786897785.350	full
A	r1	5	149	15.22	100.00	24.4	25.5	26.2	0	0	0	1786897818.543	1786897828.330	full
A	r1	10	300	30.08	100.00	24.2	26.5	33.8	0	0	0	1786897861.505	1786897871.477	full
B	r1	5	150	15.35	100.00	23.5	24.7	30.0	0	0	0	1786897930.847	1786897940.620	full
B	r1	10	299	29.99	100.00	23.8	31.1	36.1	0	0	0	1786897983.900	1786897993.871	full
C	discard	5	149	15.27	100.00	24.7	27.7	40.6	0	0	0	1786898084.628	1786898094.388	full
