ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-08-29T05:31:32Z	5ca05ba	8	8	3.9.25	Intel(R) Xeon(R) Platinum 8488C	cpu	13211447.6	iter/s	0.2271	
2026-08-29T05:31:32Z	5ca05ba	8	8	3.9.25	Intel(R) Xeon(R) Platinum 8488C	infer				ModuleNotFoundError("No module named 'cv2'")
2026-08-29T05:31:35Z	5ca05ba	8	8	3.12.13	Intel(R) Xeon(R) Platinum 8488C	cpu	17267604.6	iter/s	0.1737	
2026-08-29T05:31:35Z	5ca05ba	8	8	3.12.13	Intel(R) Xeon(R) Platinum 8488C	infer	56.51	fps	1.7695	0.10.21
