t_rel	session_idx	ms	outcome
1.764	64	373.17	ok
1.701	73	436.55	ok
1.763	68	374.36	ok
1.763	7	379.56	ok
1.788	27	354.44	ok
1.763	65	379.64	ok
1.763	22	381.06	ok
1.788	18	356.61	ok
1.79	40	355.14	ok
1.764	63	383.14	ok
1.765	9	382.23	ok
1.79	25	358.01	ok
1.682	60	469.88	ok
1.787	36	377.37	ok
1.764	10	408.02	ok
1.762	14	410.19	ok
1.791	74	381.76	ok
1.789	8	386.09	ok
1.789	15	386.76	ok
1.813	26	434.82	ok
1.794	23	454.91	ok
1.812	35	438.97	ok
1.789	3	466.36	ok
1.814	11	464.98	ok
1.812	54	474.15	ok
1.792	4	495.45	ok
1.885	48	402.77	ok
1.877	39	411.39	ok
1.881	42	407.45	ok
1.814	49	475.16	ok
1.813	20	477.12	ok
1.875	44	414.72	ok
1.813	32	477.32	ok
1.877	53	413.81	ok
1.876	78	414.53	ok
1.875	46	416.82	ok
1.838	16	454.59	ok
1.799	43	494.12	ok
1.837	41	455.96	ok
1.836	31	457.06	ok
1.837	28	457.01	ok
1.876	6	422.66	ok
1.814	52	489.59	ok
1.897	38	410.85	ok
1.897	34	411.93	ok
1.916	33	395.91	ok
1.885	29	428.18	ok
1.914	70	437.78	ok
1.916	47	441.66	ok
1.926	57	476.62	ok
1.926	50	477.36	ok
1.925	66	479.19	ok
2.001	61	416.58	ok
1.977	71	456.05	ok
1.943	56	490.95	ok
2.029	72	406.23	ok
1.932	76	556.1	ok
2.11	12	419.1	ok
1.947	58	582.76	ok
1.991	75	538.86	ok
1.944	62	618.76	ok
2.111	77	452.88	ok
1.927	55	637.2	ok
1.956	51	608.21	ok
2.027	37	537.33	ok
2.08	79	491.52	ok
2.112	30	478.9	ok
2.104	59	487.43	ok
2.109	1	482.52	ok
2.102	67	489.87	ok
2.122	21	469.25	ok
2.109	0	482.43	ok
2.112	5	480.06	ok
2.11	2	488.46	ok
2.102	69	496.3	ok
2.112	24	487.14	ok
2.122	17	477.54	ok
2.138	68	462.68	ok
2.142	7	458.6	ok
2.122	45	478.85	ok
2.137	64	464.05	ok
2.138	73	464.17	ok
2.143	65	459.12	ok
2.144	18	457.98	ok
2.143	27	459.94	ok
2.137	13	467.95	ok
2.144	22	465.38	ok
2.145	40	464.5	ok
2.137	19	473.26	ok
2.147	63	465.3	ok
2.147	9	465.36	ok
2.152	60	470.0	ok
2.287	54	440.49	ok
2.148	25	587.0	ok
2.279	11	458.2	ok
2.165	36	573.65	ok
2.172	74	667.0	ok
2.288	4	804.43	ok
2.292	46	810.05	ok
2.172	10	933.58	ok
2.29	20	815.82	ok
2.175	8	930.67	ok
2.255	3	852.35	ok
2.291	78	818.54	ok
2.248	26	861.6	ok
2.291	53	819.49	ok
2.289	49	821.23	ok
2.251	35	859.71	ok
2.434	56	683.76	ok
2.249	23	869.41	ok
2.563	62	555.51	ok
2.29	44	828.6	ok
2.288	39	830.47	ok
2.53	58	589.2	ok
2.564	77	555.85	ok
2.572	79	547.71	ok
2.564	55	556.82	ok
2.29	32	830.89	ok
2.591	1	541.94	ok
2.564	51	569.41	ok
2.404	50	730.12	ok
2.312	33	822.23	ok
2.592	5	542.24	ok
2.592	0	544.77	ok
2.418	61	719.33	ok
2.293	41	843.93	ok
2.294	28	843.52	ok
2.303	52	834.63	ok
2.352	70	794.83	ok
2.599	24	548.34	ok
2.294	31	854.27	ok
2.299	6	849.49	ok
2.313	29	835.39	ok
2.403	57	748.99	ok
2.358	47	795.22	ok
2.308	38	845.87	ok
2.293	43	860.87	ok
2.292	16	862.45	ok
2.53	75	624.47	ok
2.488	76	667.53	ok
2.288	48	869.41	ok
2.405	66	753.24	ok
2.172	14	989.52	ok
2.601	45	562.37	ok
2.53	12	634.41	ok
2.592	21	572.34	ok
2.564	37	602.75	ok
2.435	72	732.79	ok
2.591	30	578.86	ok
2.592	67	578.37	ok
2.176	15	995.3	ok
2.599	17	572.06	ok
2.609	22	562.48	ok
2.602	73	570.27	ok
2.599	2	574.29	ok
2.601	68	572.56	ok
2.433	71	739.96	ok
2.289	42	886.02	ok
2.309	34	868.32	ok
2.591	59	586.76	ok
2.602	64	576.52	ok
2.599	69	584.74	ok
2.727	54	463.24	ok
2.605	13	591.89	ok
2.601	7	605.11	ok
2.612	63	594.22	ok
2.602	65	606.23	ok
2.613	9	632.37	ok
2.61	40	635.98	ok
2.602	18	647.39	ok
2.738	11	513.98	ok
2.61	19	645.2	ok
2.738	36	530.38	ok
2.735	25	536.15	ok
3.118	23	163.37	ok
2.622	60	666.64	ok
3.11	26	179.12	ok
2.603	27	686.72	ok
3.11	78	180.09	ok
3.11	53	179.82	ok
2.84	74	450.61	ok
3.102	46	189.21	ok
3.119	58	190.6	ok
3.111	35	220.01	ok
3.11	49	221.72	ok
3.105	10	226.99	ok
3.106	20	255.8	ok
3.108	3	254.91	ok
3.092	4	314.55	ok
3.106	8	338.92	ok
3.135	5	437.05	ok
3.137	41	461.97	ok
3.12	79	479.94	ok
3.118	56	484.17	ok
3.134	50	502.4	ok
3.118	62	538.09	ok
3.134	51	523.79	ok
3.158	48	500.09	ok
3.149	29	509.38	ok
3.119	39	539.14	ok
3.121	55	537.31	ok
3.178	64	480.5	ok
3.148	24	511.27	ok
3.173	2	486.99	ok
3.154	43	506.31	ok
3.147	70	513.56	ok
3.155	75	505.92	ok
3.148	31	513.56	ok
3.206	7	486.11	ok
3.133	1	559.27	ok
3.154	38	539.22	ok
3.119	77	573.6	ok
3.17	30	523.93	ok
3.164	45	530.08	ok
3.152	57	542.39	ok
3.134	33	560.2	ok
3.137	61	557.47	ok
3.138	52	556.86	ok
3.155	16	544.58	ok
3.148	6	551.68	ok
3.168	72	536.92	ok
3.164	12	541.22	ok
3.155	76	550.11	ok
3.167	37	538.81	ok
3.158	66	548.71	ok
3.162	14	546.13	ok
3.173	68	535.02	ok
3.121	32	587.23	ok
3.137	0	572.02	ok
3.119	44	595.67	ok
3.25	18	469.23	ok
3.172	22	547.48	ok
3.178	59	541.77	ok
3.184	69	536.26	ok
3.17	67	550.24	ok
3.138	28	582.78	ok
3.171	15	549.66	ok
3.175	42	546.02	ok
3.171	17	550.07	ok
3.191	54	534.64	ok
3.245	9	480.21	ok
3.255	19	470.43	ok
3.173	71	552.68	ok
3.164	21	562.29	ok
3.269	36	457.87	ok
3.289	60	440.15	ok
3.246	40	483.44	ok
3.207	63	522.66	ok
3.208	65	521.15	ok
3.197	13	532.72	ok
3.252	11	480.0	ok
3.178	34	554.42	ok
3.153	47	596.09	ok
3.289	27	460.23	ok
3.443	78	306.78	ok
3.29	74	460.48	ok
3.44	20	311.43	ok
3.426	4	325.89	ok
3.444	35	321.04	ok
3.445	8	337.48	ok
3.172	73	610.78	ok
3.443	26	339.74	ok
3.439	10	344.15	ok
3.272	25	512.36	ok
3.436	46	436.95	ok
3.599	41	273.86	ok
3.453	53	420.71	ok
3.445	49	429.02	ok
3.455	23	419.15	ok
3.636	50	238.95	ok
3.444	3	435.94	ok
3.661	70	251.49	ok
3.658	48	256.36	ok
3.659	64	255.6	ok
3.572	5	342.69	ok
3.456	58	459.64	ok
3.6	79	321.81	ok
3.602	56	324.96	ok
3.693	77	238.45	ok
3.657	62	275.06	ok
3.657	51	274.42	ok
3.66	2	274.63	ok
3.66	43	274.77	ok
3.661	75	280.23	ok
3.658	55	286.9	ok
3.658	29	291.62	ok
3.662	31	288.22	ok
3.658	39	291.71	ok
3.694	57	256.24	ok
3.692	7	258.23	ok
3.693	38	268.87	ok
3.659	24	370.45	ok
3.693	1	337.93	ok
3.695	61	372.02	ok
3.705	72	364.36	ok
3.694	30	378.18	ok
3.694	33	378.54	ok
3.694	45	379.51	ok
3.695	52	382.3	ok
3.706	76	443.87	ok
3.709	0	441.14	ok
3.699	16	452.08	ok
3.726	71	433.27	ok
3.706	37	454.38	ok
3.707	66	454.53	ok
3.705	12	456.29	ok
3.708	14	474.4	ok
3.726	9	457.43	ok
3.719	22	466.4	ok
3.72	67	465.91	ok
3.721	28	466.09	ok
3.715	44	472.42	ok
3.73	65	473.78	ok
3.708	68	495.5	ok
3.721	42	488.81	ok
3.725	54	485.03	ok
3.7	6	514.83	ok
3.732	34	523.55	ok
3.722	17	539.95	ok
3.727	36	535.36	ok
3.778	35	487.49	ok
3.729	63	542.02	ok
3.732	11	540.2	ok
3.729	40	547.74	ok
3.773	20	511.7	ok
3.72	59	567.77	ok
3.726	19	562.02	ok
3.777	78	521.26	ok
3.75	27	548.68	ok
3.72	69	578.62	ok
3.783	73	515.93	ok
3.709	32	590.62	ok
3.727	21	574.87	ok
3.749	47	565.57	ok
3.719	18	596.38	ok
3.873	46	457.63	ok
3.873	53	458.04	ok
3.783	10	556.75	ok
3.875	23	466.38	ok
3.73	13	611.33	ok
3.874	49	468.05	ok
3.933	79	408.87	ok
3.942	56	400.81	ok
3.729	60	613.91	ok
3.992	64	350.79	ok
3.751	74	592.39	ok
3.721	15	627.9	ok
3.915	58	433.86	ok
3.993	55	356.71	ok
3.759	4	590.41	ok
3.994	75	355.53	ok
3.935	41	415.44	ok
3.783	26	567.22	ok
3.783	8	568.1	ok
3.971	50	379.57	ok
3.993	51	358.63	ok
3.784	25	571.64	ok
4.001	43	370.69	ok
3.991	62	382.15	ok
3.996	31	377.06	ok
3.995	2	378.69	ok
3.915	5	467.33	ok
3.993	48	389.53	ok
3.992	29	390.17	ok
3.995	39	390.6	ok
3.88	3	508.8	ok
4.029	24	359.83	ok
4.028	77	362.56	ok
4.029	38	369.36	ok
3.994	70	408.98	ok
4.031	7	380.75	ok
4.031	57	381.41	ok
4.072	30	349.8	ok
4.073	33	349.12	ok
4.15	0	348.35	ok
4.203	65	406.46	ok
4.069	72	546.33	ok
4.077	52	538.66	ok
4.031	1	585.65	ok
4.215	6	464.6	ok
4.256	34	425.48	ok
4.161	66	524.31	ok
4.299	73	394.17	ok
4.187	28	507.9	ok
4.315	47	383.54	ok
4.21	42	489.18	ok
4.262	36	441.08	ok
4.186	67	537.29	ok
4.272	11	451.94	ok
4.15	76	574.79	ok
4.288	19	439.37	ok
4.299	69	429.01	ok
4.183	9	546.14	ok
4.073	45	690.06	ok
4.262	17	502.16	ok
4.272	63	492.56	ok
4.285	20	479.53	ok
4.067	61	698.1	ok
4.302	21	463.6	ok
4.316	18	450.67	ok
4.298	78	468.54	ok
4.16	71	607.59	ok
4.161	37	607.09	ok
4.298	27	469.49	ok
4.204	68	564.49	ok
4.299	32	469.43	ok
4.288	59	481.45	ok
4.331	46	439.98	ok
4.152	16	619.88	ok
4.182	14	590.36	ok
4.341	23	457.79	ok
4.332	53	486.75	ok
4.343	74	475.47	ok
4.342	79	476.86	ok
4.266	35	553.83	ok
4.277	40	542.52	ok
4.187	44	632.91	ok
4.162	12	660.92	ok
4.373	31	465.63	ok
4.186	22	653.14	ok
4.342	56	496.88	ok
4.343	64	496.55	ok
4.351	26	490.02	ok
4.349	58	491.49	ok
4.349	15	502.06	ok
4.35	75	501.14	ok
4.351	8	503.64	ok
4.373	62	482.07	ok
4.35	4	505.8	ok
4.21	54	645.57	ok
4.389	24	466.78	ok
4.412	57	458.75	ok
4.386	39	485.48	ok
4.341	13	532.55	ok
4.372	43	501.99	ok
