arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail
A	discard	5	150	15.30	100.00	23.6	24.8	25.4	0	0	0
A	r1	5	149	15.36	100.00	24.1	32.0	33.6	0	0	0
A	r1	10	300	30.07	100.00	24.3	27.6	36.1	0	0	0
B	discard	5	150	15.07	100.00	24.7	35.7	38.5	0	0	0
B	r1	5	149	15.08	100.00	23.6	24.7	27.2	0	0	0
B	r1	10	300	30.06	100.00	23.7	26.7	29.5	0	0	0
C	discard	5	150	15.10	100.00	23.6	25.3	27.5	0	0	0
C	r1	5	150	15.32	100.00	23.8	25.0	25.8	0	0	0
C	r1	10	300	30.04	100.00	23.9	33.2	38.8	0	0	0
