tag	arm	sessions	target_rps	achieved_rps	count	ok	fail
A_discard_5	A	5	-	-	-	-	-
A_r1_5	A	5	-	-	-	-	-
A_r1_10	A	10	-	-	-	-	-
B_discard_5	B	5	19	18.8	569	569	0
B_r1_5	B	5	19	18.8	569	569	0
B_r1_10	B	10	19	18.9	569	569	0
C_discard_5	C	5	19	18.9	569	569	0
C_r1_5	C	5	19	18.9	569	569	0
C_r1_10	C	10	19	19.0	569	569	0
