phase	status	seconds	started_at
preflight	OK	0	2026-08-12T16:02:33+00:00
ddl	OK	1733	2026-08-12T16:02:34+00:00
ridealong	OK	0	2026-08-12T16:31:27+00:00
collect	OK	0	2026-08-12T16:31:28+00:00
