phase	status	seconds	started_at
repl_preflight	OK	2	2026-08-22T15:59:52+00:00
repl_gate	OK	214	2026-08-22T15:59:54+00:00
repl	OK	4784	2026-08-22T16:03:31+00:00
ridealong	OK	0	2026-08-22T17:23:16+00:00
collect	OK	1	2026-08-22T17:23:17+00:00
