ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-08-29T12:54:17Z	None	16	8	3.12.13	Intel(R) Xeon(R) Platinum 8488C	cpu	17655936.1	iter/s	0.1699	
2026-08-29T12:54:17Z	None	16	8	3.12.13	Intel(R) Xeon(R) Platinum 8488C	infer	50.48	fps	1.981	0.10.21
