arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi
A	discard	5	149	15.24	100.00	23.6	26.9	34.9	0	0	0	1786853413.509	1786853423.283
A	r1	5	150	15.30	100.00	24.0	26.1	27.4	0	0	0	1786853454.985	1786853464.787
A	r1	10	299	29.98	100.00	25.2	33.8	37.2	0	0	0	1786853497.020	1786853506.994
B	discard	5	150	15.01	100.00	24.0	25.8	26.9	0	0	0	1786853564.885	1786853574.878
B	r1	5	150	15.32	100.00	23.5	25.9	32.5	0	0	0	1786853617.988	1786853627.777
B	r1	10	300	30.05	100.00	23.9	31.8	34.3	0	0	0	1786853670.988	1786853680.973
C	discard	5	150	15.39	100.00	23.9	27.5	34.2	0	0	0	1786853771.801	1786853781.549
C	r1	5	149	14.94	100.00	23.5	25.7	27.9	0	0	0	1786853824.317	1786853834.291
C	r1	10	299	30.04	100.00	24.0	29.3	37.3	0	0	0	1786853877.626	1786853887.579
