epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786874889	17.0	0.2	15.0	0.20	784.8	7783.1
1786874894	6.4	2.4	3.6	0.18	772.9	7783.1
1786874899	11.7	8.2	3.0	0.17	781.8	7783.1
1786874904	12.4	9.4	3.0	0.15	791.6	7783.1
1786874909	14.8	9.2	3.4	0.14	776.4	7783.1
1786874914	15.3	9.6	3.0	0.13	780.0	7783.1
1786874919	14.6	9.4	3.4	0.12	783.9	7783.1
1786874924	13.6	9.4	3.0	0.11	787.6	7783.1
1786874929	13.5	9.6	3.6	0.10	801.7	7783.1
1786874934	12.7	9.4	3.0	0.09	796.2	7783.1
1786874939	14.0	9.4	2.2	0.08	799.1	7783.1
1786874944	12.0	9.6	1.6	0.08	819.5	7783.1
1786874949	14.3	9.6	1.6	0.07	855.8	7783.1
1786874954	11.6	9.4	2.2	0.07	861.8	7783.1
1786874959	11.8	9.8	1.4	0.06	862.9	7783.1
1786874964	14.2	9.2	1.2	0.06	854.3	7783.1
1786874970	13.4	9.6	1.4	0.05	856.7	7783.1
1786874975	11.2	9.6	1.6	0.05	859.4	7783.1
1786874980	9.9	9.6	1.2	0.12	862.3	7783.1
1786874985	12.6	9.6	2.2	0.11	874.8	7783.1
