epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786877234	3.2	2.6	0.0	0.08	475.6	7783.1
1786877239	9.0	8.6	0.0	0.07	481.2	7783.1
1786877244	10.2	9.6	0.0	0.06	482.4	7783.1
1786877249	10.0	9.2	0.0	0.14	482.4	7783.1
1786877254	10.0	9.6	0.0	0.13	483.1	7783.1
1786877259	10.6	9.6	0.0	0.12	483.1	7783.1
1786877264	11.4	9.4	0.0	0.11	483.1	7783.1
1786877269	7.9	9.4	0.0	0.10	483.9	7783.1
1786877274	12.4	9.6	0.0	0.09	484.1	7783.1
1786877279	11.6	9.6	0.0	0.08	484.8	7783.1
1786877284	9.6	9.6	0.0	0.08	486.3	7783.1
1786877289	11.0	9.4	0.0	0.07	487.0	7783.1
1786877294	9.3	9.6	0.0	0.06	487.0	7783.1
1786877299	10.4	9.6	0.0	0.06	487.8	7783.1
1786877304	10.0	9.6	0.0	0.05	488.5	7783.1
1786877309	13.2	10.0	0.0	0.05	477.8	7783.1
1786877314	10.0	10.0	0.0	0.05	479.2	7783.1
1786877319	10.6	9.6	0.0	0.04	479.9	7783.1
1786877324	10.2	9.4	0.0	0.04	482.4	7783.1
