epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786873967	16.0	0.2	15.0	0.00	772.9	7783.1
1786873972	8.8	3.6	3.2	0.00	751.1	7783.1
1786873977	10.2	6.6	3.0	0.00	754.5	7783.1
1786873982	8.9	6.8	3.4	0.00	753.3	7783.1
1786873987	9.0	6.6	3.0	0.00	757.9	7783.1
1786873992	11.2	6.6	3.4	0.00	768.5	7783.1
1786873997	12.4	6.8	3.2	0.00	772.1	7783.1
1786874002	12.4	6.6	2.8	0.00	786.9	7783.1
1786874007	13.5	6.8	3.8	0.00	808.6	7783.1
1786874012	11.4	6.6	3.0	0.00	813.3	7783.1
1786874017	9.6	6.6	2.2	0.00	818.4	7783.1
1786874022	9.2	6.6	1.4	0.00	827.7	7783.1
1786874027	11.4	6.8	2.2	0.00	851.8	7783.1
1786874032	9.2	7.0	1.4	0.00	849.9	7783.1
1786874037	9.2	6.6	1.4	0.00	852.1	7783.1
1786874042	8.4	6.8	1.4	0.00	854.3	7783.1
1786874047	8.0	6.8	1.4	0.00	857.7	7783.1
1786874052	9.2	6.8	1.4	0.00	860.1	7783.1
1786874057	10.0	6.6	1.4	0.08	869.2	7783.1
1786874062	9.2	-117.8	2.2	0.07	851.2	7783.1
