epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786875264	16.0	0.2	15.0	0.18	809.7	7783.1
1786875269	6.2	2.4	3.2	0.16	826.4	7783.1
1786875274	6.6	1.8	3.2	0.15	790.1	7783.1
1786875279	6.2	4.6	3.2	0.14	803.1	7783.1
1786875284	13.7	10.4	3.2	0.21	814.9	7783.1
1786875289	20.3	15.4	3.0	0.19	818.8	7783.1
1786875294	19.3	15.6	3.6	0.17	822.2	7783.1
1786875299	18.9	15.6	2.8	0.16	812.3	7783.1
1786875304	19.5	15.8	3.0	0.15	817.2	7783.1
1786875309	18.6	15.2	3.8	0.14	836.1	7783.1
1786875314	19.5	15.6	2.2	0.20	841.7	7783.1
1786875319	17.1	15.2	1.4	0.19	844.4	7783.1
1786875324	17.3	15.6	1.4	0.17	837.2	7783.1
1786875329	22.4	18.6	1.6	0.24	876.2	7783.1
1786875334	42.6	45.0	2.0	0.30	892.5	7783.1
1786875339	48.8	46.0	1.6	0.28	895.9	7783.1
1786875344	41.9	38.4	1.2	0.25	899.6	7783.1
1786875349	31.5	32.8	1.6	0.23	890.5	7783.1
1786875354	20.2	17.6	1.2	0.29	896.8	7783.1
1786875359	17.7	16.0	1.6	0.27	900.2	7783.1
1786875364	35.5	15.8	-59.8	0.33	503.1	7783.1
