epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786878232	15.6	0.2	15.2	0.03	787.6	7783.1
1786878237	6.6	2.4	3.2	0.03	816.8	7783.1
1786878242	5.2	2.0	3.4	0.03	777.3	7783.1
1786878247	19.3	12.2	2.8	0.02	804.7	7783.1
1786878252	18.2	16.8	3.6	0.02	798.0	7783.1
1786878257	19.2	16.8	3.0	0.10	789.7	7783.1
1786878262	21.7	16.8	3.4	0.09	794.6	7783.1
1786878267	20.7	17.0	3.0	0.08	798.5	7783.1
1786878272	20.9	16.8	3.6	0.08	810.8	7783.1
1786878277	20.7	16.6	3.0	0.15	815.4	7783.1
1786878282	21.1	16.6	2.4	0.14	808.0	7783.1
1786878287	19.7	16.8	1.4	0.13	836.5	7783.1
1786878292	40.5	41.4	2.4	0.12	873.6	7783.1
1786878297	47.5	48.4	1.4	0.11	878.7	7783.1
1786878302	51.0	49.4	1.4	0.18	882.2	7783.1
1786878307	45.5	43.4	1.4	0.17	871.9	7783.1
1786878312	38.9	36.6	1.4	0.15	877.0	7783.1
1786878317	18.5	17.2	1.4	0.14	880.6	7783.1
1786878322	20.3	17.0	1.4	0.13	885.7	7783.1
1786878327	17.4	16.8	2.4	0.12	908.1	7783.1
1786878332	36.9	17.2	-61.2	0.19	505.9	7783.1
