epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786873664	15.2	0.0	15.2	0.19	783.2	7783.1
1786873669	6.2	2.6	3.0	0.17	820.1	7783.1
1786873674	5.6	1.8	3.6	0.16	792.9	7783.1
1786873679	8.0	4.6	3.0	0.14	803.7	7783.1
1786873684	15.6	10.2	3.4	0.13	812.0	7783.1
1786873689	15.0	15.6	3.0	0.12	815.7	7783.1
1786873694	18.8	16.0	3.6	0.11	806.6	7783.1
1786873699	18.5	15.4	2.8	0.10	811.0	7783.1
1786873704	18.4	16.0	3.8	0.09	826.0	7783.1
1786873709	21.8	15.4	2.8	0.09	830.2	7783.1
1786873714	16.8	15.6	2.4	0.08	833.3	7783.1
1786873719	14.2	15.4	1.6	0.07	842.9	7783.1
1786873724	19.1	16.0	1.6	0.07	863.4	7783.1
1786873729	21.8	19.0	2.0	0.14	883.0	7783.1
1786873734	51.5	46.8	1.6	0.21	891.3	7783.1
1786873739	48.3	46.4	1.2	0.19	893.5	7783.1
1786873744	51.7	46.0	1.6	0.26	896.6	7783.1
1786873749	26.0	25.4	1.4	0.24	886.4	7783.1
1786873754	20.1	17.4	1.2	0.22	889.8	7783.1
1786873759	15.0	15.8	1.6	0.20	904.3	7783.1
1786873764	37.2	15.8	-60.4	0.18	510.1	7783.1
