epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786877351	2.6	2.4	0.0	0.02	470.3	7783.1
1786877356	9.6	6.6	0.0	0.02	477.3	7783.1
1786877361	13.2	12.2	0.0	0.02	478.5	7783.1
1786877366	13.0	12.0	0.0	0.02	478.7	7783.1
1786877371	11.9	12.2	0.0	0.02	479.8	7783.1
1786877376	12.8	12.2	0.0	0.01	480.0	7783.1
1786877381	13.8	12.2	0.0	0.01	480.0	7783.1
1786877386	11.9	12.0	0.0	0.09	481.0	7783.1
1786877391	13.6	12.2	0.0	0.08	481.0	7783.1
1786877396	13.4	12.2	0.0	0.16	481.0	7783.1
1786877401	11.9	12.0	0.0	0.14	482.5	7783.1
1786877406	12.5	12.2	0.0	0.13	482.7	7783.1
1786877411	11.5	12.2	0.0	0.12	484.0	7783.1
1786877416	13.2	12.2	0.0	0.11	484.2	7783.1
1786877421	14.1	12.2	0.0	0.10	486.6	7783.1
1786877426	15.0	12.4	0.0	0.09	486.6	7783.1
1786877431	14.4	12.2	0.0	0.09	487.1	7783.1
1786877436	12.3	12.4	0.0	0.08	487.1	7783.1
1786877441	13.3	12.6	0.0	0.07	487.9	7783.1
