epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786874214	16.0	0.2	15.0	0.02	782.3	7783.1
1786874219	5.6	2.4	3.2	0.01	816.1	7783.1
1786874224	13.3	7.0	3.6	0.01	794.3	7783.1
1786874229	14.3	12.2	2.8	0.01	797.3	7783.1
1786874234	16.3	11.8	3.6	0.01	806.7	7783.1
1786874239	14.5	12.2	3.0	0.01	809.0	7783.1
1786874244	19.0	12.2	3.4	0.01	811.0	7783.1
1786874249	16.6	12.2	2.8	0.01	801.0	7783.1
1786874254	13.5	12.2	3.0	0.01	805.4	7783.1
1786874259	15.1	12.4	3.8	0.09	813.0	7783.1
1786874264	16.2	12.2	2.2	0.08	817.4	7783.1
1786874269	16.2	12.4	1.4	0.07	820.1	7783.1
1786874274	19.9	12.4	1.6	0.07	826.5	7783.1
1786874279	14.1	12.4	1.6	0.06	863.0	7783.1
1786874284	15.8	12.4	2.0	0.06	869.8	7783.1
1786874289	13.9	12.4	1.4	0.05	873.0	7783.1
1786874294	13.3	12.4	1.4	0.05	878.2	7783.1
1786874299	16.0	12.6	1.4	0.04	868.6	7783.1
1786874304	12.7	12.2	1.4	0.12	872.3	7783.1
1786874309	15.8	12.2	1.4	0.11	875.2	7783.1
