epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786872741	15.0	0.2	15.0	0.35	797.2	7783.1
1786872747	8.2	2.2	3.4	0.32	825.0	7783.1
1786872752	5.8	2.0	3.0	0.30	791.5	7783.1
1786872757	7.8	4.8	3.2	0.27	814.6	7783.1
1786872762	20.1	13.4	3.4	0.25	808.7	7783.1
1786872767	22.6	16.8	3.0	0.23	801.1	7783.1
1786872772	19.6	17.0	3.6	0.21	804.8	7783.1
1786872777	19.9	16.6	2.8	0.19	807.7	7783.1
1786872782	19.4	16.8	3.8	0.18	823.9	7783.1
1786872787	21.7	16.8	2.8	0.16	814.6	7783.1
1786872792	18.4	16.8	2.4	0.15	820.5	7783.1
1786872797	20.3	16.6	1.6	0.14	840.7	7783.1
1786872802	22.5	17.0	1.6	0.13	878.0	7783.1
1786872807	50.6	48.2	2.0	0.12	883.4	7783.1
1786872812	55.2	49.8	1.6	0.27	875.7	7783.1
1786872817	50.3	49.2	1.4	0.25	879.8	7783.1
1786872822	47.6	47.2	1.4	0.31	885.2	7783.1
1786872827	25.1	22.8	1.4	0.36	887.9	7783.1
1786872832	24.6	19.0	1.6	0.33	885.1	7783.1
1786872837	18.0	16.8	2.0	0.31	906.0	7783.1
1786872842	37.5	17.0	-61.0	0.28	500.6	7783.1
