epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786871153	4.2	3.6	0.0	0.02	465.2	7783.1
1786871158	15.6	4.0	0.0	0.02	457.7	7783.1
1786871163	5.2	3.6	0.0	0.02	460.6	7783.1
1786871168	5.8	4.0	0.0	0.02	461.8	7783.1
1786871173	3.0	3.8	0.0	0.02	463.3	7783.1
1786871178	5.8	3.8	0.0	0.01	464.3	7783.1
1786871183	5.8	4.0	0.0	0.01	464.5	7783.1
1786871188	5.8	3.6	0.0	0.01	464.5	7783.1
1786871193	4.4	4.0	0.0	0.01	465.5	7783.1
1786871198	4.8	3.8	0.0	0.01	466.5	7783.1
1786871203	4.2	4.0	0.0	0.01	467.4	7783.1
1786871208	5.2	3.6	0.0	0.01	467.7	7783.1
1786871213	6.0	3.8	0.0	0.01	471.1	7783.1
1786871218	5.6	3.8	0.0	0.09	471.9	7783.1
1786871223	3.8	4.0	0.0	0.08	472.1	7783.1
1786871228	5.6	3.8	0.0	0.07	472.3	7783.1
1786871233	6.4	3.8	0.0	0.07	472.6	7783.1
1786871238	3.6	3.8	0.0	0.06	473.1	7783.1
