epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786874643	15.2	0.0	15.0	0.15	801.8	7783.1
1786874648	6.2	3.2	3.0	0.14	826.7	7783.1
1786874653	9.8	3.6	3.6	0.13	786.8	7783.1
1786874658	6.4	3.6	3.0	0.12	779.9	7783.1
1786874663	9.8	3.8	3.4	0.11	777.6	7783.1
1786874668	8.2	3.4	3.0	0.10	780.8	7783.1
1786874673	8.0	3.6	3.4	0.09	774.1	7783.1
1786874678	7.4	3.6	3.0	0.08	778.2	7783.1
1786874683	6.6	3.6	3.0	0.08	793.7	7783.1
1786874688	6.6	3.6	3.6	0.07	801.0	7783.1
1786874693	7.8	3.8	2.4	0.06	790.4	7783.1
1786874698	5.6	3.6	1.4	0.06	793.8	7783.1
1786874703	5.4	3.6	1.6	0.05	826.5	7783.1
1786874708	7.6	3.6	2.2	0.13	856.9	7783.1
1786874713	6.0	3.6	1.4	0.12	859.4	7783.1
1786874718	6.2	3.8	1.4	0.11	862.8	7783.1
1786874723	6.8	3.6	1.4	0.10	865.2	7783.1
1786874728	4.6	3.6	1.6	0.09	853.4	7783.1
1786874733	5.4	3.8	1.2	0.08	858.0	7783.1
1786874738	4.4	-65.0	1.4	0.16	847.2	7783.1
