epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786877986	16.0	0.0	15.0	0.08	782.9	7783.1
1786877991	7.8	2.6	3.4	0.15	766.0	7783.1
1786877996	10.5	9.0	2.8	0.14	777.7	7783.1
1786878001	12.8	9.4	3.2	0.13	792.7	7783.1
1786878006	14.4	9.0	3.4	0.12	795.3	7783.1
1786878011	11.7	9.4	2.8	0.11	786.0	7783.1
1786878016	14.8	9.6	3.8	0.10	788.4	7783.1
1786878021	13.5	9.4	3.0	0.09	793.5	7783.1
1786878026	12.9	9.6	3.6	0.08	796.4	7783.1
1786878031	11.9	9.4	3.0	0.08	800.6	7783.1
1786878036	14.2	9.2	2.2	0.07	797.0	7783.1
1786878041	11.0	9.2	1.6	0.06	827.8	7783.1
1786878046	11.7	9.4	2.2	0.06	855.1	7783.1
1786878051	11.4	9.6	1.4	0.05	860.7	7783.1
1786878056	11.6	9.2	1.4	0.13	851.9	7783.1
1786878061	10.5	9.4	1.2	0.12	854.6	7783.1
1786878066	11.0	9.4	1.6	0.11	858.0	7783.1
1786878071	11.6	9.6	1.4	0.10	860.7	7783.1
1786878076	9.9	9.6	1.4	0.09	873.4	7783.1
1786878081	31.3	10.0	2.2	0.08	900.2	7783.1
