epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786871379	4.4	3.8	0.0	0.21	476.2	7783.1
1786871384	6.8	7.0	0.0	0.28	476.7	7783.1
1786871389	6.8	6.6	0.0	0.33	479.6	7783.1
1786871394	8.6	6.6	0.0	0.39	479.6	7783.1
1786871399	8.0	6.8	0.0	0.36	479.9	7783.1
1786871404	8.2	6.6	0.0	0.33	480.4	7783.1
1786871409	8.2	6.8	0.0	0.30	480.4	7783.1
1786871414	8.8	6.8	0.0	0.28	480.4	7783.1
1786871419	8.4	6.8	0.0	0.25	484.7	7783.1
1786871424	9.6	6.8	0.0	0.23	484.7	7783.1
1786871429	6.2	6.8	0.0	0.21	484.7	7783.1
1786871434	9.2	7.0	0.0	0.20	484.7	7783.1
1786871439	7.0	6.8	0.0	0.18	484.7	7783.1
1786871444	8.0	6.8	0.0	0.17	484.7	7783.1
1786871449	8.0	6.8	0.0	0.15	484.4	7783.1
1786871454	5.8	6.8	0.0	0.14	484.4	7783.1
1786871459	18.6	6.6	0.0	0.12	481.0	7783.1
1786871464	6.6	7.0	0.0	0.11	482.0	7783.1
