epoch	cpu_pct	load_ai_pct	ghz_pct	load1	mem_used_mib	mem_total_mib
1786877739	15.8	0.2	14.8	0.13	797.2	7783.1
1786877744	8.0	3.8	3.0	0.12	830.7	7783.1
1786877750	8.2	3.4	3.4	0.11	784.0	7783.1
1786877755	5.8	3.6	3.0	0.10	793.3	7783.1
1786877760	8.2	3.8	3.4	0.09	781.0	7783.1
1786877765	7.2	3.4	3.0	0.08	783.6	7783.1
1786877770	8.4	3.8	3.4	0.08	786.8	7783.1
1786877775	9.2	3.4	3.0	0.07	790.4	7783.1
1786877780	20.6	3.6	3.6	0.15	800.0	7783.1
1786877785	9.0	3.6	2.8	0.13	790.7	7783.1
1786877790	6.8	3.6	2.4	0.12	794.1	7783.1
1786877795	7.0	3.6	1.6	0.11	821.6	7783.1
1786877800	5.2	3.6	1.6	0.10	856.8	7783.1
1786877805	7.6	3.6	2.0	0.10	863.4	7783.1
1786877810	4.6	3.6	1.4	0.09	855.2	7783.1
1786877815	7.6	3.6	1.4	0.08	860.5	7783.1
1786877820	6.4	3.4	1.4	0.15	864.2	7783.1
1786877825	6.2	3.6	1.4	0.14	866.6	7783.1
1786877830	6.4	3.8	1.6	0.13	854.5	7783.1
1786877835	4.4	-65.0	2.0	0.12	862.2	7783.1
