t_rel	session_idx	ms	outcome
6.485	5	156.0	ratelimited
6.485	2	171.0	ok
6.485	0	171.0	ok
6.531	3	204.0	ok
6.547	1	188.0	ratelimited
6.547	4	203.0	ok
6.578	7	188.0	ratelimited
6.656	0	172.0	ok
6.656	2	172.0	ratelimited
6.656	5	204.0	ok
6.735	3	140.0	ratelimited
6.735	1	156.0	ok
6.75	4	156.0	ok
6.766	7	172.0	ok
6.625	6	328.0	ratelimited
6.828	0	172.0	ratelimited
6.86	5	156.0	ok
6.906	3	141.0	ok
6.922	1	141.0	ok
6.922	4	141.0	ratelimited
6.828	2	235.0	ok
6.938	7	140.0	ratelimited
6.953	6	141.0	ok
7.0	0	172.0	ok
7.047	5	125.0	ratelimited
7.063	2	140.0	ok
7.094	4	109.0	ok
7.094	1	125.0	ratelimited
7.094	3	125.0	ratelimited
7.141	7	109.0	ok
7.141	6	109.0	ok
7.172	0	109.0	ratelimited
7.25	2	94.0	ratelimited
7.266	1	125.0	ok
7.266	5	125.0	ok
7.266	3	125.0	ok
7.266	4	156.0	ratelimited
7.328	6	94.0	ratelimited
7.328	7	110.0	ok
7.36	0	78.0	ok
7.438	4	140.0	ok
7.438	5	156.0	ok
7.438	1	156.0	ratelimited
7.438	2	250.0	ok
7.485	3	203.0	ok
7.516	7	172.0	ratelimited
7.563	0	156.0	ok
7.516	6	234.0	ok
7.625	1	141.0	ok
7.625	4	172.0	ok
7.625	5	188.0	ratelimited
7.688	3	140.0	ratelimited
7.688	2	156.0	ok
7.688	7	172.0	ok
7.75	6	125.0	ok
7.797	4	125.0	ratelimited
7.75	0	188.0	ratelimited
7.797	1	141.0	ok
7.86	7	109.0	ratelimited
7.875	2	110.0	ratelimited
7.875	3	156.0	ok
7.813	5	218.0	ok
7.906	6	141.0	ratelimited
7.938	0	156.0	ok
7.985	4	140.0	ok
7.985	1	140.0	ratelimited
8.047	3	109.0	ok
8.031	5	125.0	ok
8.047	7	156.0	ok
8.047	2	172.0	ok
8.141	0	109.0	ok
8.094	6	172.0	ok
8.156	4	141.0	ratelimited
8.156	1	157.0	ok
8.235	3	109.0	ratelimited
8.235	7	125.0	ok
8.219	5	141.0	ratelimited
8.219	2	172.0	ratelimited
8.266	6	140.0	ok
8.328	0	141.0	ratelimited
8.328	1	172.0	ratelimited
8.328	4	203.0	ok
8.391	2	156.0	ok
8.422	7	141.0	ratelimited
8.422	3	141.0	ok
8.453	6	125.0	ratelimited
8.422	5	156.0	ok
8.516	0	172.0	ok
8.531	4	157.0	ok
8.5	1	219.0	ok
8.578	2	141.0	ok
8.61	7	125.0	ok
8.61	3	140.0	ok
8.61	5	156.0	ok
8.625	6	156.0	ok
8.688	0	156.0	ratelimited
8.719	4	141.0	ratelimited
8.719	1	141.0	ok
8.766	2	109.0	ratelimited
8.797	5	78.0	ratelimited
8.797	6	78.0	ratelimited
8.797	3	94.0	ratelimited
8.797	7	109.0	ok
8.875	0	94.0	ok
8.891	4	78.0	ok
8.906	1	63.0	ratelimited
8.953	2	110.0	ok
9.0	6	125.0	ok
9.0	7	141.0	ratelimited
9.0	3	141.0	ok
9.047	0	94.0	ok
9.0	5	141.0	ok
9.063	4	78.0	ratelimited
9.094	1	141.0	ok
9.141	2	109.0	ratelimited
9.156	6	110.0	ok
9.172	7	94.0	ok
9.172	3	109.0	ratelimited
9.172	5	125.0	ratelimited
9.235	0	125.0	ratelimited
9.266	4	140.0	ok
9.344	6	78.0	ratelimited
9.266	1	172.0	ratelimited
9.328	2	110.0	ok
9.36	3	78.0	ok
9.36	7	109.0	ratelimited
9.36	5	125.0	ok
9.438	1	140.0	ok
9.453	4	157.0	ok
9.485	0	140.0	ok
9.5	2	156.0	ok
9.516	6	140.0	ok
9.547	5	125.0	ok
9.547	3	156.0	ok
9.547	7	188.0	ok
9.625	1	125.0	ok
9.641	4	140.0	ratelimited
9.656	0	125.0	ok
9.688	6	109.0	ratelimited
9.672	2	125.0	ratelimited
9.719	5	94.0	ratelimited
9.735	7	109.0	ok
9.719	3	125.0	ratelimited
9.797	1	78.0	ratelimited
9.828	0	110.0	ratelimited
9.828	4	125.0	ok
9.891	3	78.0	ok
9.891	5	94.0	ok
9.86	2	125.0	ok
9.875	6	110.0	ok
9.906	7	94.0	ratelimited
9.985	1	140.0	ok
10.0	4	141.0	ok
