round	arm	stage	backup_s	artifact_mb	restore_s	sync_ms	restore_durable_s	attempts	errors	max_stall_ms	p50_ms	disk_peak_mb	verify
discard	A	dummy	0	5	2	12	2	19	0	3	1	17	일치(100017 ∈ [100017,100019])
discard	B	dummy	6	107	9	21	9	47	0	10	4	17	일치(100053 ∈ [100035,100066])
r1	A	dummy	0	5	2	13	2	19	0	6	4	17	일치(100082 ∈ [100082,100085])
r2	B	dummy	5	107	9	20	9	43	0	8	4	17	일치(100115 ∈ [100101,100128])
r3	B	dummy	6	107	9	18	9	48	0	11	4	17	일치(100163 ∈ [100144,100176])
r4	A	dummy	0	5	2	14	2	19	0	9	4	17	일치(100192 ∈ [100192,100195])
r5	A	dummy	0	5	2	15	2	19	0	10	4	17	일치(100211 ∈ [100211,100214])
r6	B	dummy	5	109	9	21	9	44	0	15	4	19	일치(100246 ∈ [100230,100258])
c1	C	dummy	2	20	-	-	-	18	0	2353	4	19	대조군(복구 미측정)
