phase	status	seconds	started_at
coresidency_preflight	OK	3	2026-08-17T05:04:48+00:00
coresidency_rehearsal	OK	842	2026-08-17T05:04:52+00:00
coresidency	OK	11873	2026-08-17T05:18:55+00:00
collect	OK	2	2026-08-17T08:36:49+00:00
