phase	status	seconds	started_at
preflight	OK	2	2026-08-13T07:06:54+00:00
backup_rehearsal	OK	261	2026-08-13T07:06:56+00:00
backup	OK	10421	2026-08-13T07:11:19+00:00
ridealong	OK	0	2026-08-13T10:05:02+00:00
collect	OK	0	2026-08-13T10:05:03+00:00
