phase	status	seconds	started_at
coresidency_preflight	OK	3	2026-08-16T04:09:10+00:00
coresidency_rehearsal	OK	563	2026-08-16T04:09:13+00:00
coresidency	OK	7408	2026-08-16T04:18:37+00:00
collect	OK	1	2026-08-16T06:22:06+00:00
