tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
n1	413.1	2065.5	136	941	2975	0	15000	93142	15362	393.9	410445824
n5	97.4	2435.0	527	1790	7459	0	3000	20238	7868	238.4	404321280
n10	54.4	2720.0	1512	6824	9537	0	1500	10380	5842	188.5	398242816
