tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
relaxed-p20	668.6	3343.0	109	185	1130	0	15000	92268	763	30.5	295437824
relaxed-p10	667.2	3336.0	117	210	1128	0	15000	92299	711	28.4	302801408
relaxed-p5	638.0	3190.0	126	207	1159	0	15000	92347	613	24.5	287262720
relaxed-p2	461.6	2308.0	209	256	397	0	15000	93437	659	19.4	288388096
default-p20	649.4	3247.0	132	264	1047	0	15000	92439	14986	624.4	295841792
default-p5	449.3	2246.5	217	253	406	0	15000	93519	26871	767.7	267254784
