tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
r1-n1	788.9	3944.5	122	151	229	0	15000	92076	14121	706.0	300335616
r1-n5	117.2	2930.0	403	2143	8117	0	3000	19655	6939	247.8	411360768
r1-n10	50.8	2540.0	1372	7966	11879	0	1500	10393	7401	231.3	439686144
r2-n5	127.9	3197.5	411	1501	6254	0	3000	19722	6349	244.2	340344320
r2-n10	51.1	2555.0	1410	8414	11304	0	1500	10450	7971	249.1	423855616
r2-n1	767.0	3835.0	128	156	224	0	15000	92185	14494	724.7	292505600
r3-n10	58.0	2900.0	1099	7305	10656	0	1500	10374	6827	235.4	413028864
r3-n1	792.9	3964.5	123	152	228	0	15000	92080	13885	694.2	297238016
r3-n5	95.5	2387.5	434	3161	8301	0	3000	19969	8210	248.8	429983232
