tag	rps	rows_s	p50_ms	p95_ms	p99_ms	fail	total	commits	fsyncs	fsync_s	log_bytes
single-default	220.4	1102.0	448	499	540	0	15000	90258	44979	651.9	246811136
single-relaxed	535.9	2679.5	146	253	1169	0	15000	90137	678	23.4	341676032
rev-n10	54.1	2705.0	1513	8257	10808	0	1500	10258	6261	202.0	439403008
rev-n5	133.3	3332.5	391	1679	5928	0	3000	19541	6540	261.6	373080064
rev-n1	734.4	3672.0	127	160	244	0	15000	92185	14732	701.5	307803648
