round	arm	stage	backup_s	artifact_mb	restore_s	sync_ms	restore_durable_s	attempts	errors	max_stall_ms	p50_ms	disk_peak_mb	verify
discard	A	real	16	1714	83	4	83	99	0	43	4	1728	일치(750017 ∈ [750016,750099]) cs=3280951622
discard	B	real	31	1850	9	20	9	147	0	498	13	1732	일치(750234 ∈ [750115,750246]) cs=2165707439
r1	A	real	21	1714	83	4	83	122	0	10	4	1732	일치(750263 ∈ [750262,750368]) cs=1164741244
r2	B	real	32	1854	9	19	9	155	0	110	13	1732	일치(750511 ∈ [750384,750523]) cs=1014486533
