block arm drop_ms rows_clean pages_clean rows_holed pages_holed
0 pclean 20.0 50000 10032 50000 16921
0 pholed 21.8 50000 10032 50000 16921
1 pholed 21.1 50000 10032 50000 16983
1 pclean 24.8 50000 10032 50000 16921
2 pclean 18.6 50000 10032 50000 16919
2 pholed 19.6 50000 10032 50000 16921
3 pholed 19.7 50000 10032 50000 16920
3 pclean 17.3 50000 10032 50000 16923
4 pclean 17.7 50000 10032 50000 16919
4 pholed 26.8 50000 10032 50000 16920
5 pholed 20.9 50000 10032 50000 16920
5 pclean 18.5 50000 10032 50000 16920
6 pclean 17.0 50000 10032 50000 16917
6 pholed 19.8 50000 10032 50000 16920
7 pholed 24.4 50000 10032 50000 16920
7 pclean 16.9 50000 10032 50000 16920
8 pclean 30.9 50000 10032 50000 16918
8 pholed 21.9 50000 10032 50000 16920
9 pholed 20.8 50000 10032 50000 16919
9 pclean 22.7 50000 10032 50000 16917
10 pclean 16.8 50000 10032 50000 16919
10 pholed 30.9 50000 10032 50000 16916
11 pholed 19.6 50000 10032 50000 16920
11 pclean 17.5 50000 10032 50000 16919
12 pclean 16.0 50000 10032 50000 16921
12 pholed 25.4 50000 10032 50000 16920
